onset	duration	Subj	trial	trial_type	stop	go	go_prob	rt
1.825212	1	SS32	 1	25pStop          	1	0	0.25	    NaN
7.813865	1	SS32	 2	StopTrialResponse	0	1	0.75	527.536
18.31688	1	SS32	 3	StopTrialResponse	0	1	0.75	538.527
21.31908	1	SS32	 4	0pStop           	1	0	   0	    NaN
28.81628	1	SS32	 5	100pGo           	0	1	   1	526.583
33.30985	1	SS32	 6	0pStop           	1	0	   0	    NaN
37.81411	1	SS32	 7	25pStop          	1	0	0.25	    NaN
43.81553	1	SS32	 8	100pGo           	0	1	   1	538.014
46.81229	1	SS32	 9	100pGo           	0	1	   1	539.639
51.31777	1	SS32	10	100pGo           	0	1	   1	539.508
55.80971	1	SS32	11	50pStop          	1	0	 0.5	    NaN
60.31655	1	SS32	12	StopTrialResponse	0	1	 0.5	537.576
64.81607	1	SS32	13	0pStop           	1	0	   0	    NaN
76.82359	1	SS32	14	StopTrialResponse	0	1	0.75	518.314
 81.3188	1	SS32	15	100pGo           	0	1	   1	537.989
85.82153	1	SS32	16	StopTrialResponse	0	1	0.75	539.256
 91.8136	1	SS32	17	0pStop           	1	0	   0	    NaN
102.3286	1	SS32	18	100pGo           	0	1	   1	538.269
115.8188	1	SS32	19	100pGo           	0	1	   1	537.662
120.3203	1	SS32	20	StopTrialResponse	0	1	0.75	539.297
123.3174	1	SS32	21	0pStop           	1	0	   0	    NaN
129.3171	1	SS32	22	100pGo           	0	1	   1	 511.22
135.3283	1	SS32	23	0pStop           	1	0	   0	    NaN
138.3168	1	SS32	24	100pGo           	0	1	   1	540.055
145.8181	1	SS32	25	StopTrialResponse	0	1	0.75	538.975
 153.327	1	SS32	26	25pStop          	1	0	0.25	    NaN
 160.826	1	SS32	27	50pStop          	1	0	 0.5	    NaN
168.3127	1	SS32	28	25pStop          	1	0	0.25	    NaN
171.3181	1	SS32	29	StopTrialResponse	0	1	0.75	539.068
175.8133	1	SS32	30	100pGo           	0	1	   1	538.398
181.8204	1	SS32	31	100pGo           	0	1	   1	538.041
187.8322	1	SS32	32	25pStop          	1	0	0.25	    NaN
196.8297	1	SS32	33	50pStop          	1	0	 0.5	    NaN
210.3274	1	SS32	34	50pStop          	1	0	 0.5	    NaN
216.3212	1	SS32	35	25pStop          	1	0	0.25	    NaN
220.8223	1	SS32	36	50pStop          	1	0	 0.5	    NaN
225.3204	1	SS32	37	StopTrialResponse	0	1	0.75	532.356
234.3195	1	SS32	38	50pStop          	1	0	 0.5	    NaN
237.3218	1	SS32	39	StopTrialResponse	0	1	0.75	539.306
250.8284	1	SS32	40	25pStop          	1	0	0.25	    NaN
255.3184	1	SS32	41	25pStop          	1	0	0.25	    NaN
259.8236	1	SS32	42	25pStop          	1	0	0.25	    NaN
265.8212	1	SS32	43	25pStop          	1	0	0.25	    NaN
268.8162	1	SS32	44	0pStop           	1	0	   0	    NaN
271.8213	1	SS32	45	0pStop           	1	0	   0	    NaN
 277.832	1	SS32	46	50pStop          	1	0	 0.5	    NaN
286.8329	1	SS32	47	100pGo           	0	1	   1	538.632
298.8203	1	SS32	48	StopTrialResponse	0	1	0.75	505.685
303.3288	1	SS32	49	25pStop          	1	0	0.25	    NaN
307.8254	1	SS32	50	50pStop          	1	0	 0.5	    NaN
319.8215	1	SS32	51	StopTrialResponse	0	1	 0.5	538.849
324.3257	1	SS32	52	StopTrialResponse	0	1	0.75	505.113
330.3252	1	SS32	53	100pGo           	0	1	   1	539.078
333.3282	1	SS32	54	25pStop          	1	0	0.25	    NaN
343.8302	1	SS32	55	0pStop           	1	0	   0	    NaN
357.3324	1	SS32	56	0pStop           	1	0	   0	    NaN
363.3293	1	SS32	57	StopTrialResponse	0	1	0.75	539.614
375.3371	1	SS32	58	50pStop          	1	0	 0.5	    NaN
381.3272	1	SS32	59	100pGo           	0	1	   1	487.261
391.8168	1	SS32	60	StopTrialResponse	0	1	0.75	537.643
396.3355	1	SS32	61	0pStop           	1	0	   0	    NaN
400.8167	1	SS32	62	25pStop          	1	0	0.25	    NaN
405.3357	1	SS32	63	0pStop           	1	0	   0	    NaN
409.8238	1	SS32	64	50pStop          	1	0	 0.5	    NaN
414.3345	1	SS32	65	0pStop           	1	0	   0	    NaN
418.8307	1	SS32	66	0pStop           	1	0	   0	    NaN
423.3347	1	SS32	67	0pStop           	1	0	   0	    NaN
432.3305	1	SS32	68	StopTrialResponse	0	1	 0.5	537.921
442.8335	1	SS32	69	50pStop          	1	0	 0.5	    NaN
448.8311	1	SS32	70	100pGo           	0	1	   1	509.057
457.8291	1	SS32	71	StopTrialResponse	0	1	0.75	 537.57
462.3288	1	SS32	72	25pStop          	1	0	0.25	    NaN
475.8477	1	SS32	73	25pStop          	1	0	0.25	    NaN
487.8326	1	SS32	74	50pStop          	1	0	 0.5	    NaN
490.8346	1	SS32	75	StopTrialResponse	0	1	0.75	539.278
