onset	duration	Subj	trial	trial_type	stop	go	go_prob	rt
1.814749	1	SS43	 1	0pStop           	1	0	   0	    NaN
6.303249	1	SS43	 2	25pStop          	1	0	0.25	    NaN
10.80517	1	SS43	 3	100pGo           	0	1	   1	528.905
15.32085	1	SS43	 4	100pGo           	0	1	   1	538.567
28.81483	1	SS43	 5	25pStop          	1	0	0.25	    NaN
37.80867	1	SS43	 6	25pStop          	1	0	0.25	    NaN
51.31897	1	SS43	 7	StopTrialResponse	0	1	0.75	533.501
60.31397	1	SS43	 8	100pGo           	0	1	   1	 539.63
69.31878	1	SS43	 9	StopTrialResponse	0	1	 0.5	539.773
78.31913	1	SS43	10	StopTrialResponse	0	1	 0.5	537.511
81.31105	1	SS43	11	StopTrialResponse	0	1	0.75	537.716
87.31259	1	SS43	12	100pGo           	0	1	   1	 539.57
90.30931	1	SS43	13	StopTrialResponse	0	1	 0.5	538.724
93.31944	1	SS43	14	StopTrialResponse	0	1	0.75	538.662
97.80534	1	SS43	15	25pStop          	1	0	0.25	    NaN
102.3117	1	SS43	16	0pStop           	1	0	   0	    NaN
109.8162	1	SS43	17	100pGo           	0	1	   1	538.757
 115.816	1	SS43	18	StopTrialResponse	0	1	 0.5	539.201
127.8232	1	SS43	19	StopTrialResponse	0	1	0.75	540.126
132.3135	1	SS43	20	100pGo           	0	1	   1	533.834
136.8163	1	SS43	21	StopTrialResponse	0	1	 0.5	537.971
141.3095	1	SS43	22	25pStop          	1	0	0.25	    NaN
145.8124	1	SS43	23	100pGo           	0	1	   1	538.471
153.3095	1	SS43	24	0pStop           	1	0	   0	    NaN
157.8077	1	SS43	25	StopTrialResponse	0	1	 0.5	539.368
163.8138	1	SS43	26	0pStop           	1	0	   0	    NaN
174.3183	1	SS43	27	StopTrialResponse	0	1	0.25	487.763
177.3105	1	SS43	28	StopTrialResponse	0	1	0.75	539.367
190.8144	1	SS43	29	100pGo           	0	1	   1	538.065
202.8256	1	SS43	30	StopTrialResponse	0	1	0.75	538.962
208.8252	1	SS43	31	StopTrialResponse	0	1	 0.5	539.943
213.3135	1	SS43	32	50pStop          	1	0	 0.5	    NaN
223.8159	1	SS43	33	100pGo           	0	1	   1	539.586
229.8131	1	SS43	34	StopTrialResponse	0	1	0.75	538.718
232.8154	1	SS43	35	StopTrialResponse	0	1	0.25	539.315
238.8252	1	SS43	36	0pStop           	1	0	   0	    NaN
243.3122	1	SS43	37	StopTrialResponse	0	1	 0.5	 537.89
247.8196	1	SS43	38	StopTrialResponse	0	1	0.75	537.619
252.3109	1	SS43	39	StopTrialResponse	0	1	0.75	538.174
264.3322	1	SS43	40	25pStop          	1	0	0.25	    NaN
270.3133	1	SS43	41	0pStop           	1	0	   0	    NaN
276.3116	1	SS43	42	50pStop          	1	0	 0.5	    NaN
289.8233	1	SS43	43	StopTrialResponse	0	1	0.75	539.174
295.8153	1	SS43	44	StopTrialResponse	0	1	 0.5	539.296
301.8155	1	SS43	45	0pStop           	1	0	   0	    NaN
313.8158	1	SS43	46	0pStop           	1	0	   0	    NaN
319.8135	1	SS43	47	StopTrialResponse	0	1	 0.5	539.692
327.3093	1	SS43	48	0pStop           	1	0	   0	    NaN
 331.816	1	SS43	49	0pStop           	1	0	   0	    NaN
336.3176	1	SS43	50	100pGo           	0	1	   1	537.644
340.8154	1	SS43	51	25pStop          	1	0	0.25	    NaN
348.3278	1	SS43	52	StopTrialResponse	0	1	0.75	535.574
351.3226	1	SS43	53	StopTrialResponse	0	1	 0.5	  538.6
357.3253	1	SS43	54	100pGo           	0	1	   1	538.322
361.8139	1	SS43	55	StopTrialResponse	0	1	0.75	526.837
366.3283	1	SS43	56	0pStop           	1	0	   0	    NaN
372.3197	1	SS43	57	StopTrialResponse	0	1	 0.5	539.394
376.8257	1	SS43	58	25pStop          	1	0	0.25	    NaN
382.8186	1	SS43	59	100pGo           	0	1	   1	539.589
 387.328	1	SS43	60	0pStop           	1	0	   0	    NaN
400.8239	1	SS43	61	100pGo           	0	1	   1	 535.55
403.8132	1	SS43	62	StopTrialResponse	0	1	0.75	538.686
408.3174	1	SS43	63	0pStop           	1	0	   0	    NaN
417.3173	1	SS43	64	0pStop           	1	0	   0	    NaN
420.3184	1	SS43	65	25pStop          	1	0	0.25	    NaN
430.8234	1	SS43	66	StopTrialResponse	0	1	 0.5	 538.96
435.3278	1	SS43	67	StopTrialResponse	0	1	0.75	538.293
 445.809	1	SS43	68	0pStop           	1	0	   0	    NaN
448.8259	1	SS43	69	25pStop          	1	0	0.25	    NaN
453.3178	1	SS43	70	25pStop          	1	0	0.25	    NaN
457.8221	1	SS43	71	StopTrialResponse	0	1	0.75	519.876
465.3192	1	SS43	72	StopTrialResponse	0	1	0.25	 538.07
 477.318	1	SS43	73	100pGo           	0	1	   1	529.348
483.3172	1	SS43	74	25pStop          	1	0	0.25	    NaN
486.3187	1	SS43	75	100pGo           	0	1	   1	519.285
