onset	duration	Subj	trial	trial_type	stop	go	go_prob	rt
1.828005	1	SS43	 1	StopTrialResponse	0	1	0.25	537.602
7.819739	1	SS43	 2	StopTrialResponse	0	1	0.75	539.055
15.30971	1	SS43	 3	0pStop           	1	0	   0	    NaN
28.82213	1	SS43	 4	StopTrialResponse	0	1	0.75	519.564
31.81421	1	SS43	 5	StopTrialResponse	0	1	0.75	537.533
43.81294	1	SS43	 6	100pGo           	0	1	   1	489.641
51.30851	1	SS43	 7	StopTrialResponse	0	1	0.75	538.097
55.81489	1	SS43	 8	0pStop           	1	0	   0	    NaN
60.30949	1	SS43	 9	StopTrialResponse	0	1	 0.5	538.225
73.81502	1	SS43	10	0pStop           	1	0	   0	    NaN
84.31947	1	SS43	11	0pStop           	1	0	   0	    NaN
90.31785	1	SS43	12	100pGo           	0	1	   1	539.398
94.81474	1	SS43	13	StopTrialResponse	0	1	 0.5	 538.25
100.8139	1	SS43	14	0pStop           	1	0	   0	    NaN
103.8089	1	SS43	15	StopTrialResponse	0	1	0.25	538.195
108.3184	1	SS43	16	0pStop           	1	0	   0	    NaN
111.3211	1	SS43	17	100pGo           	0	1	   1	540.428
117.3179	1	SS43	18	StopTrialResponse	0	1	0.75	527.628
121.8213	1	SS43	19	0pStop           	1	0	   0	    NaN
130.8244	1	SS43	20	StopTrialResponse	0	1	0.75	537.607
135.3177	1	SS43	21	100pGo           	0	1	   1	537.799
147.3184	1	SS43	22	25pStop          	1	0	0.25	    NaN
150.3215	1	SS43	23	StopTrialResponse	0	1	 0.5	538.768
160.8256	1	SS43	24	100pGo           	0	1	   1	 539.26
166.8172	1	SS43	25	0pStop           	1	0	   0	    NaN
171.3282	1	SS43	26	25pStop          	1	0	0.25	    NaN
175.8223	1	SS43	27	100pGo           	0	1	   1	462.249
 178.823	1	SS43	28	StopTrialResponse	0	1	0.75	 538.95
184.8179	1	SS43	29	StopTrialResponse	0	1	0.75	539.251
187.8259	1	SS43	30	StopTrialResponse	0	1	0.25	539.332
190.8221	1	SS43	31	100pGo           	0	1	   1	538.077
195.3174	1	SS43	32	0pStop           	1	0	   0	    NaN
199.8236	1	SS43	33	StopTrialResponse	0	1	0.75	538.269
210.3266	1	SS43	34	StopTrialResponse	0	1	0.75	539.575
223.8323	1	SS43	35	StopTrialResponse	0	1	 0.5	539.599
229.8218	1	SS43	36	100pGo           	0	1	   1	539.735
238.8265	1	SS43	37	StopTrialResponse	0	1	0.25	537.835
243.3175	1	SS43	38	StopTrialResponse	0	1	0.75	539.358
247.8261	1	SS43	39	0pStop           	1	0	   0	    NaN
 255.328	1	SS43	40	100pGo           	0	1	   1	 538.61
258.3199	1	SS43	41	StopTrialResponse	0	1	 0.5	538.166
264.3179	1	SS43	42	100pGo           	0	1	   1	539.353
277.8334	1	SS43	43	StopTrialResponse	0	1	0.25	538.518
285.3287	1	SS43	44	StopTrialResponse	0	1	0.25	539.054
291.3356	1	SS43	45	0pStop           	1	0	   0	    NaN
303.3279	1	SS43	46	StopTrialResponse	0	1	0.25	539.699
307.8259	1	SS43	47	StopTrialResponse	0	1	 0.5	539.119
315.3255	1	SS43	48	25pStop          	1	0	0.25	    NaN
325.8315	1	SS43	49	StopTrialResponse	0	1	0.75	 539.52
331.8213	1	SS43	50	StopTrialResponse	0	1	0.75	538.877
337.8229	1	SS43	51	100pGo           	0	1	   1	539.227
 342.329	1	SS43	52	50pStop          	1	0	 0.5	    NaN
345.3308	1	SS43	53	StopTrialResponse	0	1	0.75	537.995
354.3331	1	SS43	54	0pStop           	1	0	   0	    NaN
358.8253	1	SS43	55	StopTrialResponse	0	1	0.25	537.695
364.8299	1	SS43	56	100pGo           	0	1	   1	539.184
370.8266	1	SS43	57	0pStop           	1	0	   0	    NaN
376.8256	1	SS43	58	0pStop           	1	0	   0	    NaN
381.3272	1	SS43	59	0pStop           	1	0	   0	    NaN
 387.329	1	SS43	60	StopTrialResponse	0	1	 0.5	538.698
391.8325	1	SS43	61	StopTrialResponse	0	1	0.25	537.571
400.8312	1	SS43	62	StopTrialResponse	0	1	0.75	538.905
 405.328	1	SS43	63	100pGo           	0	1	   1	539.067
 409.826	1	SS43	64	50pStop          	1	0	 0.5	    NaN
421.8285	1	SS43	65	StopTrialResponse	0	1	 0.5	 537.84
430.8211	1	SS43	66	StopTrialResponse	0	1	 0.5	 538.93
435.3298	1	SS43	67	25pStop          	1	0	0.25	    NaN
447.3255	1	SS43	68	50pStop          	1	0	 0.5	    NaN
451.8381	1	SS43	69	100pGo           	0	1	   1	472.287
456.3254	1	SS43	70	StopTrialResponse	0	1	0.25	538.869
469.8224	1	SS43	71	StopTrialResponse	0	1	 0.5	538.797
472.8245	1	SS43	72	100pGo           	0	1	   1	539.271
483.3295	1	SS43	73	25pStop          	1	0	0.25	    NaN
487.8211	1	SS43	74	StopTrialResponse	0	1	 0.5	537.964
492.3291	1	SS43	75	StopTrialResponse	0	1	 0.5	538.877
