onset	duration	Subj	trial	trial_type	stop	go	go_prob	rt
1.813289	1	SS36	 1	StopTrialResponse	0	1	0.75	539.496
15.30331	1	SS36	 2	StopTrialResponse	0	1	0.75	538.727
19.80987	1	SS36	 3	100pGo           	0	1	   1	538.516
24.30271	1	SS36	 4	StopTrialResponse	0	1	 0.5	538.709
30.30303	1	SS36	 5	25pStop          	1	0	0.25	    NaN
34.81565	1	SS36	 6	100pGo           	0	1	   1	 537.93
45.30538	1	SS36	 7	StopTrialResponse	0	1	 0.5	538.873
49.81395	1	SS36	 8	25pStop          	1	0	0.25	    NaN
58.81343	1	SS36	 9	25pStop          	1	0	0.25	    NaN
63.30836	1	SS36	10	StopTrialResponse	0	1	0.75	539.478
73.81334	1	SS36	11	0pStop           	1	0	   0	    NaN
78.30851	1	SS36	12	StopTrialResponse	0	1	0.75	537.773
 82.8235	1	SS36	13	StopTrialResponse	0	1	 0.5	538.916
85.81366	1	SS36	14	StopTrialResponse	0	1	0.75	537.704
88.81353	1	SS36	15	25pStop          	1	0	0.25	    NaN
99.31629	1	SS36	16	StopTrialResponse	0	1	 0.5	538.701
109.8259	1	SS36	17	100pGo           	0	1	   1	538.394
114.3194	1	SS36	18	0pStop           	1	0	   0	    NaN
118.8128	1	SS36	19	0pStop           	1	0	   0	    NaN
 123.317	1	SS36	20	0pStop           	1	0	   0	    NaN
133.8131	1	SS36	21	StopTrialResponse	0	1	 0.5	538.556
136.8134	1	SS36	22	0pStop           	1	0	   0	    NaN
139.8128	1	SS36	23	0pStop           	1	0	   0	    NaN
145.8242	1	SS36	24	100pGo           	0	1	   1	537.954
 154.823	1	SS36	25	25pStop          	1	0	0.25	    NaN
160.8168	1	SS36	26	StopTrialResponse	0	1	0.75	538.861
165.3184	1	SS36	27	StopTrialResponse	0	1	0.75	 538.92
168.3121	1	SS36	28	25pStop          	1	0	0.25	    NaN
171.3168	1	SS36	29	100pGo           	0	1	   1	539.437
 174.319	1	SS36	30	100pGo           	0	1	   1	 539.15
 181.822	1	SS36	31	100pGo           	0	1	   1	538.723
187.8209	1	SS36	32	100pGo           	0	1	   1	537.141
201.3333	1	SS36	33	25pStop          	1	0	0.25	    NaN
207.3188	1	SS36	34	StopTrialResponse	0	1	 0.5	537.536
214.8134	1	SS36	35	StopTrialResponse	0	1	0.75	537.735
220.8261	1	SS36	36	StopTrialResponse	0	1	 0.5	537.987
232.8134	1	SS36	37	100pGo           	0	1	   1	538.404
235.8223	1	SS36	38	0pStop           	1	0	   0	    NaN
243.3236	1	SS36	39	0pStop           	1	0	   0	    NaN
252.3278	1	SS36	40	StopTrialResponse	0	1	 0.5	 539.59
256.8204	1	SS36	41	StopTrialResponse	0	1	0.75	537.954
262.8334	1	SS36	42	25pStop          	1	0	0.25	    NaN
267.3177	1	SS36	43	StopTrialResponse	0	1	 0.5	538.325
271.8317	1	SS36	44	StopTrialResponse	0	1	0.75	539.039
 279.317	1	SS36	45	StopTrialResponse	0	1	 0.5	538.213
283.8323	1	SS36	46	25pStop          	1	0	0.25	    NaN
288.3167	1	SS36	47	StopTrialResponse	0	1	 0.5	538.487
 297.325	1	SS36	48	0pStop           	1	0	   0	    NaN
309.3268	1	SS36	49	100pGo           	0	1	   1	537.827
313.8308	1	SS36	50	StopTrialResponse	0	1	 0.5	    538
327.3279	1	SS36	51	StopTrialResponse	0	1	0.75	  537.5
336.3263	1	SS36	52	100pGo           	0	1	   1	539.409
348.3245	1	SS36	53	StopTrialResponse	0	1	0.75	539.696
352.8214	1	SS36	54	25pStop          	1	0	0.25	    NaN
 364.823	1	SS36	55	0pStop           	1	0	   0	    NaN
367.8214	1	SS36	56	0pStop           	1	0	   0	    NaN
372.3276	1	SS36	57	100pGo           	0	1	   1	537.701
378.3189	1	SS36	58	25pStop          	1	0	0.25	    NaN
382.8202	1	SS36	59	0pStop           	1	0	   0	    NaN
396.3191	1	SS36	60	100pGo           	0	1	   1	538.791
400.8219	1	SS36	61	StopTrialResponse	0	1	 0.5	539.495
406.8209	1	SS36	62	0pStop           	1	0	   0	    NaN
412.8291	1	SS36	63	StopTrialResponse	0	1	0.75	538.997
418.8206	1	SS36	64	0pStop           	1	0	   0	    NaN
424.8316	1	SS36	65	0pStop           	1	0	   0	    NaN
429.3253	1	SS36	66	StopTrialResponse	0	1	 0.5	538.873
435.3346	1	SS36	67	100pGo           	0	1	   1	538.333
439.8231	1	SS36	68	StopTrialResponse	0	1	0.75	538.541
451.8407	1	SS36	69	25pStop          	1	0	0.25	    NaN
465.3365	1	SS36	70	StopTrialResponse	0	1	 0.5	538.657
469.8244	1	SS36	71	StopTrialResponse	0	1	0.75	538.245
474.3339	1	SS36	72	25pStop          	1	0	0.25	    NaN
480.3235	1	SS36	73	25pStop          	1	0	0.25	    NaN
487.8324	1	SS36	74	25pStop          	1	0	0.25	    NaN
490.8241	1	SS36	75	100pGo           	0	1	   1	539.048
