onset	duration	Subj	trial	trial_type	stop	go	go_prob	rt
1.826232	1	SS36	 1	25pStop          	1	0	0.25	    NaN
10.80876	1	SS36	 2	0pStop           	1	0	   0	    NaN
13.80557	1	SS36	 3	StopTrialResponse	0	1	0.75	539.064
18.31014	1	SS36	 4	25pStop          	1	0	0.25	    NaN
22.80823	1	SS36	 5	25pStop          	1	0	0.25	    NaN
28.82494	1	SS36	 6	50pStop          	1	0	 0.5	    NaN
39.31853	1	SS36	 7	50pStop          	1	0	 0.5	    NaN
42.30942	1	SS36	 8	100pGo           	0	1	   1	539.744
45.32179	1	SS36	 9	0pStop           	1	0	   0	    NaN
49.81331	1	SS36	10	0pStop           	1	0	   0	    NaN
 54.3209	1	SS36	11	25pStop          	1	0	0.25	    NaN
61.81531	1	SS36	12	0pStop           	1	0	   0	    NaN
67.81889	1	SS36	13	50pStop          	1	0	 0.5	    NaN
76.82584	1	SS36	14	StopTrialResponse	0	1	0.75	 533.12
 82.8133	1	SS36	15	0pStop           	1	0	   0	    NaN
93.31642	1	SS36	16	StopTrialResponse	0	1	0.75	538.617
106.8263	1	SS36	17	StopTrialResponse	0	1	0.75	524.726
111.3089	1	SS36	18	100pGo           	0	1	   1	 537.63
124.8277	1	SS36	19	100pGo           	0	1	   1	538.213
130.8131	1	SS36	20	StopTrialResponse	0	1	0.75	537.711
135.3134	1	SS36	21	StopTrialResponse	0	1	 0.5	538.427
139.8153	1	SS36	22	25pStop          	1	0	0.25	    NaN
145.8132	1	SS36	23	25pStop          	1	0	0.25	    NaN
 156.319	1	SS36	24	100pGo           	0	1	   1	538.699
160.8132	1	SS36	25	25pStop          	1	0	0.25	    NaN
 165.317	1	SS36	26	StopTrialResponse	0	1	 0.5	 540.05
177.3205	1	SS36	27	StopTrialResponse	0	1	0.75	539.844
181.8175	1	SS36	28	25pStop          	1	0	0.25	    NaN
186.3204	1	SS36	29	25pStop          	1	0	0.25	    NaN
189.3138	1	SS36	30	StopTrialResponse	0	1	 0.5	539.373
202.8174	1	SS36	31	25pStop          	1	0	0.25	    NaN
207.3175	1	SS36	32	0pStop           	1	0	   0	    NaN
 213.317	1	SS36	33	100pGo           	0	1	   1	539.545
223.8253	1	SS36	34	25pStop          	1	0	0.25	    NaN
226.8157	1	SS36	35	100pGo           	0	1	   1	537.945
 232.813	1	SS36	36	100pGo           	0	1	   1	538.987
237.3285	1	SS36	37	50pStop          	1	0	 0.5	    NaN
241.8164	1	SS36	38	StopTrialResponse	0	1	0.75	538.656
250.8132	1	SS36	39	0pStop           	1	0	   0	    NaN
 256.813	1	SS36	40	StopTrialResponse	0	1	 0.5	538.176
262.8156	1	SS36	41	50pStop          	1	0	 0.5	    NaN
267.3249	1	SS36	42	0pStop           	1	0	   0	    NaN
279.3173	1	SS36	43	StopTrialResponse	0	1	0.75	537.779
 282.319	1	SS36	44	25pStop          	1	0	0.25	    NaN
294.3263	1	SS36	45	100pGo           	0	1	   1	538.101
298.8133	1	SS36	46	0pStop           	1	0	   0	    NaN
306.3179	1	SS36	47	StopTrialResponse	0	1	0.75	539.663
312.3121	1	SS36	48	25pStop          	1	0	0.25	    NaN
318.3194	1	SS36	49	StopTrialResponse	0	1	 0.5	538.988
321.3177	1	SS36	50	0pStop           	1	0	   0	    NaN
330.3255	1	SS36	51	StopTrialResponse	0	1	0.75	537.509
336.3175	1	SS36	52	StopTrialResponse	0	1	0.75	537.511
346.8306	1	SS36	53	StopTrialResponse	0	1	 0.5	537.823
352.8215	1	SS36	54	100pGo           	0	1	   1	539.549
 357.318	1	SS36	55	25pStop          	1	0	0.25	    NaN
361.8244	1	SS36	56	100pGo           	0	1	   1	538.461
370.8297	1	SS36	57	100pGo           	0	1	   1	496.129
 376.818	1	SS36	58	100pGo           	0	1	   1	539.647
381.3174	1	SS36	59	StopTrialResponse	0	1	0.75	 539.82
393.3166	1	SS36	60	StopTrialResponse	0	1	0.75	513.123
400.8339	1	SS36	61	0pStop           	1	0	   0	    NaN
405.3176	1	SS36	62	0pStop           	1	0	   0	    NaN
409.8206	1	SS36	63	StopTrialResponse	0	1	 0.5	537.939
414.3325	1	SS36	64	25pStop          	1	0	0.25	    NaN
427.8298	1	SS36	65	100pGo           	0	1	   1	539.133
435.3272	1	SS36	66	0pStop           	1	0	   0	    NaN
438.3177	1	SS36	67	StopTrialResponse	0	1	 0.5	537.933
444.3177	1	SS36	68	0pStop           	1	0	   0	    NaN
448.8237	1	SS36	69	50pStop          	1	0	 0.5	    NaN
453.3283	1	SS36	70	StopTrialResponse	0	1	0.75	539.727
457.8198	1	SS36	71	100pGo           	0	1	   1	538.714
469.8219	1	SS36	72	StopTrialResponse	0	1	0.75	537.739
472.8237	1	SS36	73	100pGo           	0	1	   1	538.384
475.8312	1	SS36	74	50pStop          	1	0	 0.5	    NaN
483.3311	1	SS36	75	0pStop           	1	0	   0	    NaN
