onset	duration	Subj	trial	trial_type	stop	go	go_prob	rt
1.809282	1	SS34	 1	25pStop          	1	0	0.25	    NaN
9.308243	1	SS34	 2	StopTrialResponse	0	1	 0.5	 538.58
12.31123	1	SS34	 3	StopTrialResponse	0	1	 0.5	538.389
24.30233	1	SS34	 4	StopTrialResponse	0	1	0.75	538.571
34.80215	1	SS34	 5	StopTrialResponse	0	1	 0.5	539.617
42.31678	1	SS34	 6	50pStop          	1	0	 0.5	    NaN
51.32073	1	SS34	 7	StopTrialResponse	0	1	 0.5	540.004
55.80667	1	SS34	 8	0pStop           	1	0	   0	    NaN
60.30914	1	SS34	 9	25pStop          	1	0	0.25	    NaN
64.80529	1	SS34	10	0pStop           	1	0	   0	    NaN
69.30984	1	SS34	11	25pStop          	1	0	0.25	    NaN
73.82476	1	SS34	12	StopTrialResponse	0	1	0.75	538.041
79.80432	1	SS34	13	StopTrialResponse	0	1	 0.5	537.976
  85.806	1	SS34	14	StopTrialResponse	0	1	0.25	 538.68
91.82153	1	SS34	15	StopTrialResponse	0	1	 0.5	538.739
102.3073	1	SS34	16	100pGo           	0	1	   1	538.907
108.3091	1	SS34	17	0pStop           	1	0	   0	    NaN
114.3085	1	SS34	18	StopTrialResponse	0	1	 0.5	539.084
118.8127	1	SS34	19	StopTrialResponse	0	1	0.75	539.785
130.8252	1	SS34	20	0pStop           	1	0	   0	    NaN
133.8124	1	SS34	21	100pGo           	0	1	   1	538.338
138.3093	1	SS34	22	100pGo           	0	1	   1	538.153
150.3101	1	SS34	23	StopTrialResponse	0	1	0.75	 537.73
153.3131	1	SS34	24	StopTrialResponse	0	1	0.75	500.383
159.3119	1	SS34	25	100pGo           	0	1	   1	539.183
 166.811	1	SS34	26	StopTrialResponse	0	1	0.75	 537.92
171.3084	1	SS34	27	StopTrialResponse	0	1	 0.5	 539.54
184.8157	1	SS34	28	0pStop           	1	0	   0	    NaN
195.3083	1	SS34	29	100pGo           	0	1	   1	539.473
208.8143	1	SS34	30	StopTrialResponse	0	1	0.75	526.968
217.8133	1	SS34	31	StopTrialResponse	0	1	 0.5	538.148
222.3197	1	SS34	32	0pStop           	1	0	   0	    NaN
225.3085	1	SS34	33	0pStop           	1	0	   0	    NaN
229.8172	1	SS34	34	0pStop           	1	0	   0	    NaN
 235.824	1	SS34	35	100pGo           	0	1	   1	538.419
240.3118	1	SS34	36	StopTrialResponse	0	1	0.25	538.032
246.3121	1	SS34	37	StopTrialResponse	0	1	0.25	538.423
250.8234	1	SS34	38	100pGo           	0	1	   1	539.036
255.3114	1	SS34	39	StopTrialResponse	0	1	0.25	539.601
 261.315	1	SS34	40	100pGo           	0	1	   1	514.409
 267.319	1	SS34	41	StopTrialResponse	0	1	 0.5	539.072
 271.822	1	SS34	42	0pStop           	1	0	   0	    NaN
276.3224	1	SS34	43	0pStop           	1	0	   0	    NaN
285.3283	1	SS34	44	StopTrialResponse	0	1	0.75	538.565
292.8126	1	SS34	45	StopTrialResponse	0	1	 0.5	538.187
 298.816	1	SS34	46	StopTrialResponse	0	1	0.25	538.293
301.8248	1	SS34	47	100pGo           	0	1	   1	538.236
304.8135	1	SS34	48	0pStop           	1	0	   0	    NaN
318.3198	1	SS34	49	0pStop           	1	0	   0	    NaN
324.3173	1	SS34	50	StopTrialResponse	0	1	 0.5	538.312
328.8132	1	SS34	51	StopTrialResponse	0	1	 0.5	 540.24
334.8126	1	SS34	52	StopTrialResponse	0	1	0.75	538.476
339.3187	1	SS34	53	100pGo           	0	1	   1	538.115
345.3165	1	SS34	54	100pGo           	0	1	   1	537.576
349.8209	1	SS34	55	StopTrialResponse	0	1	0.75	537.771
355.8338	1	SS34	56	100pGo           	0	1	   1	537.985
360.3172	1	SS34	57	100pGo           	0	1	   1	539.779
370.8124	1	SS34	58	StopTrialResponse	0	1	0.75	 539.44
375.3174	1	SS34	59	0pStop           	1	0	   0	    NaN
379.8134	1	SS34	60	StopTrialResponse	0	1	0.25	537.593
388.8208	1	SS34	61	StopTrialResponse	0	1	0.75	541.589
391.8227	1	SS34	62	StopTrialResponse	0	1	0.75	538.945
396.3169	1	SS34	63	StopTrialResponse	0	1	0.25	537.831
399.3194	1	SS34	64	StopTrialResponse	0	1	0.75	539.323
 412.835	1	SS34	65	100pGo           	0	1	   1	539.077
421.8219	1	SS34	66	StopTrialResponse	0	1	0.25	539.123
432.3259	1	SS34	67	StopTrialResponse	0	1	 0.5	538.855
435.3169	1	SS34	68	StopTrialResponse	0	1	0.25	539.633
439.8224	1	SS34	69	25pStop          	1	0	0.25	    NaN
444.3224	1	SS34	70	StopTrialResponse	0	1	0.25	538.758
456.3182	1	SS34	71	0pStop           	1	0	   0	    NaN
463.8301	1	SS34	72	0pStop           	1	0	   0	    NaN
475.8216	1	SS34	73	StopTrialResponse	0	1	0.75	538.263
480.3198	1	SS34	74	100pGo           	0	1	   1	539.992
483.3195	1	SS34	75	25pStop          	1	0	0.25	    NaN
