onset	duration	Subj	trial	trial_type	stop	go	go_prob	rt
 1.81826	1	SS44	 1	StopTrialResponse	0	1	   0	538.705
6.299812	1	SS44	 2	50pStop          	1	0	 0.5	    NaN
10.80441	1	SS44	 3	100pGo           	0	1	   1	539.201
15.30632	1	SS44	 4	100pGo           	0	1	   1	538.161
18.30047	1	SS44	 5	StopTrialResponse	0	1	0.25	539.026
22.80444	1	SS44	 6	25pStop          	1	0	0.25	    NaN
28.80447	1	SS44	 7	StopTrialResponse	0	1	0.75	539.308
40.81776	1	SS44	 8	100pGo           	0	1	   1	531.193
48.30465	1	SS44	 9	100pGo           	0	1	   1	539.144
54.30913	1	SS44	10	0pStop           	1	0	   0	    NaN
63.31202	1	SS44	11	StopTrialResponse	0	1	0.25	538.966
70.80891	1	SS44	12	0pStop           	1	0	   0	    NaN
82.81442	1	SS44	13	StopTrialResponse	0	1	 0.5	539.457
94.80474	1	SS44	14	StopTrialResponse	0	1	0.25	538.649
100.8151	1	SS44	15	0pStop           	1	0	   0	    NaN
105.3087	1	SS44	16	StopTrialResponse	0	1	0.75	538.125
111.3085	1	SS44	17	100pGo           	0	1	   1	537.738
117.3086	1	SS44	18	StopTrialResponse	0	1	0.75	539.435
121.8136	1	SS44	19	100pGo           	0	1	   1	539.451
124.8073	1	SS44	20	100pGo           	0	1	   1	539.236
 135.309	1	SS44	21	StopTrialResponse	0	1	0.75	537.785
145.8069	1	SS44	22	StopTrialResponse	0	1	 0.5	 537.65
150.3065	1	SS44	23	StopTrialResponse	0	1	 0.5	538.692
160.8052	1	SS44	24	0pStop           	1	0	   0	    NaN
165.3114	1	SS44	25	50pStop          	1	0	 0.5	    NaN
172.8089	1	SS44	26	StopTrialResponse	0	1	0.75	538.048
186.3105	1	SS44	27	25pStop          	1	0	0.25	    NaN
196.8137	1	SS44	28	StopTrialResponse	0	1	0.25	538.875
201.3106	1	SS44	29	StopTrialResponse	0	1	 0.5	537.685
 207.313	1	SS44	30	0pStop           	1	0	   0	    NaN
213.3086	1	SS44	31	25pStop          	1	0	0.25	    NaN
217.8129	1	SS44	32	0pStop           	1	0	   0	    NaN
222.3087	1	SS44	33	25pStop          	1	0	0.25	    NaN
234.3195	1	SS44	34	100pGo           	0	1	   1	538.084
238.8045	1	SS44	35	0pStop           	1	0	   0	    NaN
 252.311	1	SS44	36	50pStop          	1	0	 0.5	    NaN
255.3147	1	SS44	37	StopTrialResponse	0	1	0.75	538.789
262.8169	1	SS44	38	25pStop          	1	0	0.25	    NaN
265.8164	1	SS44	39	StopTrialResponse	0	1	0.75	539.115
268.8151	1	SS44	40	100pGo           	0	1	   1	539.431
273.3199	1	SS44	41	StopTrialResponse	0	1	0.75	  537.5
277.8124	1	SS44	42	StopTrialResponse	0	1	0.75	537.947
286.8263	1	SS44	43	25pStop          	1	0	0.25	    NaN
292.8224	1	SS44	44	0pStop           	1	0	   0	    NaN
298.8126	1	SS44	45	100pGo           	0	1	   1	539.166
 310.821	1	SS44	46	0pStop           	1	0	   0	    NaN
316.8124	1	SS44	47	100pGo           	0	1	   1	538.477
322.8224	1	SS44	48	0pStop           	1	0	   0	    NaN
327.3096	1	SS44	49	25pStop          	1	0	0.25	    NaN
340.8266	1	SS44	50	25pStop          	1	0	0.25	    NaN
343.8128	1	SS44	51	50pStop          	1	0	 0.5	    NaN
349.8132	1	SS44	52	100pGo           	0	1	   1	539.488
354.3168	1	SS44	53	0pStop           	1	0	   0	    NaN
 364.813	1	SS44	54	50pStop          	1	0	 0.5	    NaN
378.3172	1	SS44	55	StopTrialResponse	0	1	0.75	538.615
384.3168	1	SS44	56	StopTrialResponse	0	1	0.75	539.199
388.8129	1	SS44	57	50pStop          	1	0	 0.5	    NaN
393.3277	1	SS44	58	0pStop           	1	0	   0	    NaN
 396.317	1	SS44	59	50pStop          	1	0	 0.5	    NaN
400.8208	1	SS44	60	StopTrialResponse	0	1	0.75	538.014
 406.816	1	SS44	61	25pStop          	1	0	0.25	    NaN
411.3262	1	SS44	62	50pStop          	1	0	 0.5	    NaN
417.3186	1	SS44	63	100pGo           	0	1	   1	538.897
430.8261	1	SS44	64	0pStop           	1	0	   0	    NaN
433.8151	1	SS44	65	25pStop          	1	0	0.25	    NaN
442.8127	1	SS44	66	StopTrialResponse	0	1	0.75	540.137
445.8128	1	SS44	67	StopTrialResponse	0	1	 0.5	538.181
450.3168	1	SS44	68	StopTrialResponse	0	1	0.75	539.666
454.8142	1	SS44	69	StopTrialResponse	0	1	0.75	538.194
459.3174	1	SS44	70	StopTrialResponse	0	1	 0.5	537.929
462.3285	1	SS44	71	StopTrialResponse	0	1	 0.5	537.518
471.3164	1	SS44	72	100pGo           	0	1	   1	538.375
475.8123	1	SS44	73	25pStop          	1	0	0.25	    NaN
 480.328	1	SS44	74	100pGo           	0	1	   1	540.031
489.3217	1	SS44	75	0pStop           	1	0	   0	    NaN
