onset	duration	Subj	trial	trial_type	stop	go	go_prob	rt
1.825873	1	SS49	 1	StopTrialResponse	0	1	0.75	539.418
6.303638	1	SS49	 2	0pStop           	1	0	   0	    NaN
18.30924	1	SS49	 3	100pGo           	0	1	   1	538.161
27.30963	1	SS49	 4	100pGo           	0	1	   1	537.569
33.32158	1	SS49	 5	StopTrialResponse	0	1	 0.5	537.944
36.30855	1	SS49	 6	100pGo           	0	1	   1	538.509
40.81124	1	SS49	 7	StopTrialResponse	0	1	 0.5	539.291
51.32252	1	SS49	 8	0pStop           	1	0	   0	    NaN
 57.3091	1	SS49	 9	25pStop          	1	0	0.25	    NaN
61.82435	1	SS49	10	StopTrialResponse	0	1	0.75	537.791
67.81299	1	SS49	11	50pStop          	1	0	 0.5	    NaN
73.82008	1	SS49	12	100pGo           	0	1	   1	539.123
81.30813	1	SS49	13	StopTrialResponse	0	1	 0.5	 537.91
90.30869	1	SS49	14	0pStop           	1	0	   0	    NaN
94.81309	1	SS49	15	StopTrialResponse	0	1	0.25	 539.47
97.81306	1	SS49	16	0pStop           	1	0	   0	    NaN
102.3191	1	SS49	17	100pStop         	1	0	   1	    NaN
106.8124	1	SS49	18	StopTrialResponse	0	1	   0	540.473
111.3181	1	SS49	19	100pGo           	0	1	   1	537.614
115.8137	1	SS49	20	StopTrialResponse	0	1	0.75	538.085
118.8121	1	SS49	21	100pGo           	0	1	   1	539.399
124.8137	1	SS49	22	0pStop           	1	0	   0	    NaN
135.3168	1	SS49	23	StopTrialResponse	0	1	0.75	537.802
148.8214	1	SS49	24	StopTrialResponse	0	1	 0.5	 538.22
153.3206	1	SS49	25	StopTrialResponse	0	1	 0.5	539.993
159.3085	1	SS49	26	StopTrialResponse	0	1	0.75	 537.93
169.8242	1	SS49	27	StopTrialResponse	0	1	0.75	539.834
174.3093	1	SS49	28	StopTrialResponse	0	1	0.25	538.209
178.8132	1	SS49	29	StopTrialResponse	0	1	 0.5	538.772
183.3206	1	SS49	30	100pGo           	0	1	   1	538.085
186.3083	1	SS49	31	StopTrialResponse	0	1	 0.5	537.906
198.3254	1	SS49	32	StopTrialResponse	0	1	   0	503.851
204.3082	1	SS49	33	StopTrialResponse	0	1	0.75	539.354
210.3085	1	SS49	34	0pStop           	1	0	   0	    NaN
213.3097	1	SS49	35	StopTrialResponse	0	1	0.25	537.602
219.3079	1	SS49	36	25pStop          	1	0	0.25	    NaN
226.8145	1	SS49	37	25pStop          	1	0	0.25	    NaN
229.8133	1	SS49	38	StopTrialResponse	0	1	 0.5	539.975
232.8246	1	SS49	39	25pStop          	1	0	0.25	    NaN
241.8249	1	SS49	40	StopTrialResponse	0	1	0.75	539.269
246.3217	1	SS49	41	StopTrialResponse	0	1	 0.5	538.009
253.8129	1	SS49	42	StopTrialResponse	0	1	 0.5	539.118
259.8181	1	SS49	43	25pStop          	1	0	0.25	    NaN
264.3277	1	SS49	44	100pGo           	0	1	   1	 539.44
270.3176	1	SS49	45	StopTrialResponse	0	1	0.25	539.345
282.3279	1	SS49	46	0pStop           	1	0	   0	    NaN
286.8127	1	SS49	47	75pStop          	1	0	0.75	    NaN
 291.325	1	SS49	48	0pStop           	1	0	   0	    NaN
298.8136	1	SS49	49	StopTrialResponse	0	1	0.75	539.539
310.8298	1	SS49	50	100pGo           	0	1	   1	 529.61
315.3244	1	SS49	51	StopTrialResponse	0	1	0.75	539.345
319.8137	1	SS49	52	0pStop           	1	0	   0	    NaN
325.8318	1	SS49	53	0pStop           	1	0	   0	    NaN
328.8127	1	SS49	54	100pGo           	0	1	   1	537.972
331.8308	1	SS49	55	100pGo           	0	1	   1	537.606
342.3284	1	SS49	56	0pStop           	1	0	   0	    NaN
351.3168	1	SS49	57	StopTrialResponse	0	1	 0.5	538.416
 355.823	1	SS49	58	25pStop          	1	0	0.25	    NaN
 360.318	1	SS49	59	25pStop          	1	0	0.25	    NaN
373.8333	1	SS49	60	100pGo           	0	1	   1	537.502
 385.824	1	SS49	61	100pGo           	0	1	   1	538.575
399.3182	1	SS49	62	StopTrialResponse	0	1	0.75	537.584
405.3261	1	SS49	63	50pStop          	1	0	 0.5	    NaN
409.8207	1	SS49	64	StopTrialResponse	0	1	 0.5	538.018
423.3253	1	SS49	65	StopTrialResponse	0	1	0.75	539.119
432.3256	1	SS49	66	0pStop           	1	0	   0	    NaN
445.8268	1	SS49	67	0pStop           	1	0	   0	    NaN
450.3131	1	SS49	68	StopTrialResponse	0	1	0.25	539.278
454.8219	1	SS49	69	25pStop          	1	0	0.25	    NaN
460.8214	1	SS49	70	StopTrialResponse	0	1	0.75	538.711
463.8208	1	SS49	71	StopTrialResponse	0	1	0.25	539.817
469.8221	1	SS49	72	StopTrialResponse	0	1	0.25	539.011
480.3365	1	SS49	73	50pStop          	1	0	 0.5	    NaN
 484.821	1	SS49	74	100pStop         	1	0	   1	    NaN
489.3198	1	SS49	75	StopTrialResponse	0	1	0.75	 525.99
