onset	duration	Subj	trial	trial_type	stop	go	go_prob	rt
1.820572	1	SS42	 1	0pStop           	1	0	   0	    NaN
4.805032	1	SS42	 2	StopTrialResponse	0	1	0.25	539.429
 10.8131	1	SS42	 3	StopTrialResponse	0	1	0.75	537.738
15.30858	1	SS42	 4	100pGo           	0	1	   1	538.901
25.80545	1	SS42	 5	0pStop           	1	0	   0	    NaN
31.81308	1	SS42	 6	50pStop          	1	0	 0.5	    NaN
36.30842	1	SS42	 7	StopTrialResponse	0	1	 0.5	539.034
40.81444	1	SS42	 8	100pGo           	0	1	   1	538.182
43.80542	1	SS42	 9	100pGo           	0	1	   1	539.287
49.80717	1	SS42	10	0pStop           	1	0	   0	    NaN
55.80568	1	SS42	11	StopTrialResponse	0	1	0.75	537.727
69.31762	1	SS42	12	StopTrialResponse	0	1	0.75	538.112
75.31887	1	SS42	13	0pStop           	1	0	   0	    NaN
87.30958	1	SS42	14	StopTrialResponse	0	1	 0.5	539.037
93.32402	1	SS42	15	StopTrialResponse	0	1	0.75	 539.33
97.80557	1	SS42	16	100pGo           	0	1	   1	537.766
105.3092	1	SS42	17	25pStop          	1	0	0.25	    NaN
111.3084	1	SS42	18	StopTrialResponse	0	1	 0.5	539.479
117.3099	1	SS42	19	StopTrialResponse	0	1	0.75	539.261
121.8239	1	SS42	20	25pStop          	1	0	0.25	    NaN
124.8131	1	SS42	21	25pStop          	1	0	0.25	    NaN
127.8057	1	SS42	22	100pGo           	0	1	   1	539.006
130.8212	1	SS42	23	25pStop          	1	0	0.25	    NaN
138.3054	1	SS42	24	0pStop           	1	0	   0	    NaN
142.8148	1	SS42	25	StopTrialResponse	0	1	0.25	538.447
153.3098	1	SS42	26	0pStop           	1	0	   0	    NaN
166.8256	1	SS42	27	StopTrialResponse	0	1	0.75	537.792
172.8137	1	SS42	28	StopTrialResponse	0	1	 0.5	538.329
 186.316	1	SS42	29	StopTrialResponse	0	1	 0.5	537.581
195.3161	1	SS42	30	StopTrialResponse	0	1	0.75	538.645
198.3216	1	SS42	31	25pStop          	1	0	0.25	    NaN
202.8133	1	SS42	32	25pStop          	1	0	0.25	    NaN
216.3259	1	SS42	33	25pStop          	1	0	0.25	    NaN
220.8127	1	SS42	34	StopTrialResponse	0	1	0.25	539.058
225.3089	1	SS42	35	100pGo           	0	1	   1	537.882
229.8185	1	SS42	36	100pGo           	0	1	   1	539.381
235.8131	1	SS42	37	StopTrialResponse	0	1	 0.5	538.362
238.8129	1	SS42	38	0pStop           	1	0	   0	    NaN
243.3214	1	SS42	39	StopTrialResponse	0	1	 0.5	537.707
247.8175	1	SS42	40	StopTrialResponse	0	1	0.75	537.709
 250.814	1	SS42	41	100pGo           	0	1	   1	537.986
255.3092	1	SS42	42	100pGo           	0	1	   1	 538.82
259.8097	1	SS42	43	100pGo           	0	1	   1	538.155
271.8096	1	SS42	44	100pGo           	0	1	   1	539.218
277.8155	1	SS42	45	0pStop           	1	0	   0	    NaN
 280.826	1	SS42	46	0pStop           	1	0	   0	    NaN
285.3181	1	SS42	47	100pGo           	0	1	   1	538.755
294.3249	1	SS42	48	StopTrialResponse	0	1	0.25	539.317
306.3211	1	SS42	49	50pStop          	1	0	 0.5	    NaN
313.8134	1	SS42	50	100pGo           	0	1	   1	538.049
318.3223	1	SS42	51	StopTrialResponse	0	1	 0.5	537.599
321.3274	1	SS42	52	0pStop           	1	0	   0	    NaN
325.8096	1	SS42	53	0pStop           	1	0	   0	    NaN
333.3276	1	SS42	54	50pStop          	1	0	 0.5	    NaN
339.3217	1	SS42	55	StopTrialResponse	0	1	 0.5	 537.95
351.3269	1	SS42	56	StopTrialResponse	0	1	0.75	538.336
360.3175	1	SS42	57	0pStop           	1	0	   0	    NaN
364.8138	1	SS42	58	StopTrialResponse	0	1	0.75	540.141
369.3178	1	SS42	59	0pStop           	1	0	   0	    NaN
378.3264	1	SS42	60	50pStop          	1	0	 0.5	    NaN
388.8295	1	SS42	61	25pStop          	1	0	0.25	    NaN
397.8142	1	SS42	62	StopTrialResponse	0	1	 0.5	 539.29
402.3178	1	SS42	63	StopTrialResponse	0	1	0.75	539.442
406.8226	1	SS42	64	100pGo           	0	1	   1	539.305
411.3193	1	SS42	65	StopTrialResponse	0	1	0.75	539.339
417.3178	1	SS42	66	StopTrialResponse	0	1	0.75	538.599
424.8297	1	SS42	67	100pGo           	0	1	   1	537.537
438.3181	1	SS42	68	25pStop          	1	0	0.25	    NaN
444.3235	1	SS42	69	0pStop           	1	0	   0	    NaN
450.3177	1	SS42	70	StopTrialResponse	0	1	 0.5	 538.23
454.8218	1	SS42	71	25pStop          	1	0	0.25	    NaN
459.3175	1	SS42	72	StopTrialResponse	0	1	0.75	538.677
471.3324	1	SS42	73	StopTrialResponse	0	1	0.25	537.995
475.8222	1	SS42	74	StopTrialResponse	0	1	0.75	537.781
486.3176	1	SS42	75	0pStop           	1	0	   0	    NaN
