onset	duration	Subj	trial	trial_type	stop	go	go_prob	rt
1.824781	1	SS42	 1	StopTrialResponse	0	1	0.75	 538.45
13.81382	1	SS42	 2	25pStop          	1	0	0.25	    NaN
16.82535	1	SS42	 3	StopTrialResponse	0	1	 0.5	538.985
30.30985	1	SS42	 4	StopTrialResponse	0	1	 0.5	  537.6
39.31182	1	SS42	 5	0pStop           	1	0	   0	    NaN
43.81486	1	SS42	 6	StopTrialResponse	0	1	 0.5	537.677
48.32163	1	SS42	 7	100pGo           	0	1	   1	539.182
58.82322	1	SS42	 8	100pGo           	0	1	   1	 538.08
70.81316	1	SS42	 9	StopTrialResponse	0	1	0.75	538.665
76.82373	1	SS42	10	StopTrialResponse	0	1	 0.5	539.109
81.31978	1	SS42	11	StopTrialResponse	0	1	0.25	538.898
87.32827	1	SS42	12	StopTrialResponse	0	1	0.75	538.853
91.81318	1	SS42	13	StopTrialResponse	0	1	0.25	538.045
97.81618	1	SS42	14	100pStop         	1	0	   1	    NaN
103.8153	1	SS42	15	100pGo           	0	1	   1	538.428
117.3373	1	SS42	16	StopTrialResponse	0	1	 0.5	538.852
127.8159	1	SS42	17	50pStop          	1	0	 0.5	    NaN
139.8225	1	SS42	18	StopTrialResponse	0	1	 0.5	537.718
142.8137	1	SS42	19	StopTrialResponse	0	1	0.25	537.524
147.3197	1	SS42	20	StopTrialResponse	0	1	 0.5	 538.55
151.8156	1	SS42	21	StopTrialResponse	0	1	 0.5	538.789
159.3182	1	SS42	22	100pGo           	0	1	   1	537.893
166.8225	1	SS42	23	75pStop          	1	0	0.75	    NaN
174.3195	1	SS42	24	StopTrialResponse	0	1	0.25	538.848
178.8239	1	SS42	25	0pStop           	1	0	   0	    NaN
183.3195	1	SS42	26	100pGo           	0	1	   1	537.558
189.3273	1	SS42	27	StopTrialResponse	0	1	 0.5	538.571
  195.32	1	SS42	28	100pGo           	0	1	   1	538.206
198.3176	1	SS42	29	25pStop          	1	0	0.25	    NaN
202.8157	1	SS42	30	StopTrialResponse	0	1	 0.5	538.896
207.3251	1	SS42	31	50pStop          	1	0	 0.5	    NaN
213.3199	1	SS42	32	0pStop           	1	0	   0	    NaN
219.3236	1	SS42	33	100pGo           	0	1	   1	538.383
222.3197	1	SS42	34	0pStop           	1	0	   0	    NaN
235.8293	1	SS42	35	StopTrialResponse	0	1	 0.5	538.736
240.3186	1	SS42	36	100pGo           	0	1	   1	539.563
246.3283	1	SS42	37	0pStop           	1	0	   0	    NaN
252.3175	1	SS42	38	StopTrialResponse	0	1	0.75	538.156
258.3198	1	SS42	39	0pStop           	1	0	   0	    NaN
262.8165	1	SS42	40	25pStop          	1	0	0.25	    NaN
268.8155	1	SS42	41	100pGo           	0	1	   1	538.827
 277.817	1	SS42	42	100pGo           	0	1	   1	538.104
282.3168	1	SS42	43	0pStop           	1	0	   0	    NaN
292.8214	1	SS42	44	25pStop          	1	0	0.25	    NaN
297.3212	1	SS42	45	0pStop           	1	0	   0	    NaN
304.8271	1	SS42	46	0pStop           	1	0	   0	    NaN
307.8235	1	SS42	47	StopTrialResponse	0	1	0.75	539.246
321.3272	1	SS42	48	StopTrialResponse	0	1	0.25	534.684
325.8292	1	SS42	49	25pStop          	1	0	0.25	    NaN
334.8237	1	SS42	50	0pStop           	1	0	   0	    NaN
339.3198	1	SS42	51	25pStop          	1	0	0.25	    NaN
342.3183	1	SS42	52	0pStop           	1	0	   0	    NaN
345.3174	1	SS42	53	75pStop          	1	0	0.75	    NaN
349.8216	1	SS42	54	25pStop          	1	0	0.25	    NaN
361.8291	1	SS42	55	100pGo           	0	1	   1	538.594
366.3339	1	SS42	56	StopTrialResponse	0	1	 0.5	 537.63
369.3184	1	SS42	57	25pStop          	1	0	0.25	    NaN
 382.835	1	SS42	58	StopTrialResponse	0	1	0.75	537.724
385.8215	1	SS42	59	StopTrialResponse	0	1	0.75	538.473
396.3255	1	SS42	60	StopTrialResponse	0	1	   0	538.045
408.3286	1	SS42	61	25pStop          	1	0	0.25	    NaN
418.8334	1	SS42	62	0pStop           	1	0	   0	    NaN
423.3286	1	SS42	63	25pStop          	1	0	0.25	    NaN
430.8208	1	SS42	64	StopTrialResponse	0	1	 0.5	538.235
436.8175	1	SS42	65	StopTrialResponse	0	1	0.75	538.529
445.8312	1	SS42	66	StopTrialResponse	0	1	   0	538.006
451.8236	1	SS42	67	100pStop         	1	0	   1	    NaN
456.3197	1	SS42	68	75pStop          	1	0	0.75	    NaN
459.3216	1	SS42	69	100pGo           	0	1	   1	538.635
463.8267	1	SS42	70	StopTrialResponse	0	1	0.75	537.677
469.8219	1	SS42	71	100pGo           	0	1	   1	537.562
474.3264	1	SS42	72	75pStop          	1	0	0.75	    NaN
478.8325	1	SS42	73	0pStop           	1	0	   0	    NaN
487.8249	1	SS42	74	StopTrialResponse	0	1	0.75	538.404
 492.325	1	SS42	75	StopTrialResponse	0	1	0.75	537.814
