onset	duration	Subj	trial	trial_type	stop	go	go_prob	rt
1.819133	1	SS41	 1	0pStop           	1	0	   0	    NaN
10.81364	1	SS41	 2	25pStop          	1	0	0.25	    NaN
16.80722	1	SS41	 3	0pStop           	1	0	   0	    NaN
21.31573	1	SS41	 4	StopTrialResponse	0	1	0.75	539.019
30.31569	1	SS41	 5	25pStop          	1	0	0.25	    NaN
34.80783	1	SS41	 6	100pGo           	0	1	   1	502.416
 39.3106	1	SS41	 7	100pGo           	0	1	   1	538.077
43.81552	1	SS41	 8	0pStop           	1	0	   0	    NaN
49.80885	1	SS41	 9	StopTrialResponse	0	1	 0.5	538.548
54.30994	1	SS41	10	25pStop          	1	0	0.25	    NaN
63.31418	1	SS41	11	25pStop          	1	0	0.25	    NaN
70.80646	1	SS41	12	25pStop          	1	0	0.25	    NaN
 81.3118	1	SS41	13	StopTrialResponse	0	1	0.75	539.301
88.81448	1	SS41	14	25pStop          	1	0	0.25	    NaN
102.3165	1	SS41	15	100pGo           	0	1	   1	519.296
106.8112	1	SS41	16	25pStop          	1	0	0.25	    NaN
111.3128	1	SS41	17	100pGo           	0	1	   1	524.494
  117.31	1	SS41	18	100pGo           	0	1	   1	520.682
123.3188	1	SS41	19	StopTrialResponse	0	1	0.75	539.111
133.8147	1	SS41	20	0pStop           	1	0	   0	    NaN
136.8065	1	SS41	21	0pStop           	1	0	   0	    NaN
144.3179	1	SS41	22	StopTrialResponse	0	1	0.75	 538.18
148.8172	1	SS41	23	StopTrialResponse	0	1	 0.5	538.345
156.3102	1	SS41	24	StopTrialResponse	0	1	 0.5	538.158
162.3193	1	SS41	25	StopTrialResponse	0	1	 0.5	538.318
172.8226	1	SS41	26	100pGo           	0	1	   1	518.635
177.3111	1	SS41	27	StopTrialResponse	0	1	 0.5	539.273
180.3105	1	SS41	28	StopTrialResponse	0	1	 0.5	539.188
184.8146	1	SS41	29	0pStop           	1	0	   0	    NaN
189.3104	1	SS41	30	StopTrialResponse	0	1	0.75	 537.51
193.8233	1	SS41	31	50pStop          	1	0	 0.5	    NaN
196.8145	1	SS41	32	25pStop          	1	0	0.25	    NaN
202.8215	1	SS41	33	50pStop          	1	0	 0.5	    NaN
208.8159	1	SS41	34	StopTrialResponse	0	1	 0.5	539.798
222.3232	1	SS41	35	0pStop           	1	0	   0	    NaN
226.8146	1	SS41	36	StopTrialResponse	0	1	 0.5	537.509
232.8201	1	SS41	37	25pStop          	1	0	0.25	    NaN
237.3107	1	SS41	38	100pGo           	0	1	   1	538.758
246.3194	1	SS41	39	100pGo           	0	1	   1	502.741
256.8228	1	SS41	40	StopTrialResponse	0	1	0.75	518.714
270.3273	1	SS41	41	0pStop           	1	0	   0	    NaN
276.3207	1	SS41	42	StopTrialResponse	0	1	0.75	 525.16
280.8149	1	SS41	43	0pStop           	1	0	   0	    NaN
285.3182	1	SS41	44	StopTrialResponse	0	1	0.75	538.432
288.3195	1	SS41	45	StopTrialResponse	0	1	0.75	538.042
  294.32	1	SS41	46	100pGo           	0	1	   1	461.738
306.3266	1	SS41	47	StopTrialResponse	0	1	0.75	463.885
309.3196	1	SS41	48	100pGo           	0	1	   1	492.373
 312.319	1	SS41	49	StopTrialResponse	0	1	 0.5	 537.87
316.8147	1	SS41	50	50pStop          	1	0	 0.5	    NaN
321.3196	1	SS41	51	StopTrialResponse	0	1	0.75	538.598
327.3186	1	SS41	52	25pStop          	1	0	0.25	    NaN
339.3183	1	SS41	53	100pGo           	0	1	   1	496.675
343.8217	1	SS41	54	100pGo           	0	1	   1	527.819
349.8161	1	SS41	55	50pStop          	1	0	 0.5	    NaN
361.8258	1	SS41	56	StopTrialResponse	0	1	0.75	507.813
367.8145	1	SS41	57	25pStop          	1	0	0.25	    NaN
370.8264	1	SS41	58	0pStop           	1	0	   0	    NaN
384.3259	1	SS41	59	100pGo           	0	1	   1	518.277
391.8229	1	SS41	60	0pStop           	1	0	   0	    NaN
403.8175	1	SS41	61	0pStop           	1	0	   0	    NaN
406.8166	1	SS41	62	50pStop          	1	0	 0.5	    NaN
411.3273	1	SS41	63	50pStop          	1	0	 0.5	    NaN
420.3198	1	SS41	64	25pStop          	1	0	0.25	    NaN
426.3199	1	SS41	65	0pStop           	1	0	   0	    NaN
432.3266	1	SS41	66	StopTrialResponse	0	1	0.75	517.605
444.3187	1	SS41	67	25pStop          	1	0	0.25	    NaN
448.8227	1	SS41	68	25pStop          	1	0	0.25	    NaN
453.3205	1	SS41	69	StopTrialResponse	0	1	0.75	 539.19
457.8237	1	SS41	70	0pStop           	1	0	   0	    NaN
462.3187	1	SS41	71	100pGo           	0	1	   1	539.656
465.3197	1	SS41	72	25pStop          	1	0	0.25	    NaN
468.3186	1	SS41	73	0pStop           	1	0	   0	    NaN
478.8314	1	SS41	74	StopTrialResponse	0	1	0.75	539.352
483.3187	1	SS41	75	100pGo           	0	1	   1	526.866
