onset	duration	Subj	trial	trial_type	stop	go	go_prob	rt
1.816925	1	SS46	 1	25pStop 	1	0	0.25	NaN
15.30968	1	SS46	 2	75pStop 	1	0	0.75	NaN
24.31255	1	SS46	 3	0pStop  	1	0	   0	NaN
30.30977	1	SS46	 4	75pStop 	1	0	0.75	NaN
37.81387	1	SS46	 5	75pStop 	1	0	0.75	NaN
43.82301	1	SS46	 6	0pStop  	1	0	   0	NaN
46.81384	1	SS46	 7	50pStop 	1	0	 0.5	NaN
52.82246	1	SS46	 8	100pStop	1	0	   1	NaN
57.31206	1	SS46	 9	50pStop 	1	0	 0.5	NaN
69.31128	1	SS46	10	100pStop	1	0	   1	NaN
75.31793	1	SS46	11	25pStop 	1	0	0.25	NaN
85.82332	1	SS46	12	75pStop 	1	0	0.75	NaN
90.32894	1	SS46	13	100pStop	1	0	   1	NaN
102.3196	1	SS46	14	25pStop 	1	0	0.25	NaN
106.8154	1	SS46	15	75pStop 	1	0	0.75	NaN
117.3272	1	SS46	16	100pStop	1	0	   1	NaN
120.3092	1	SS46	17	75pStop 	1	0	0.75	NaN
123.3111	1	SS46	18	0pStop  	1	0	   0	NaN
136.8103	1	SS46	19	75pStop 	1	0	0.75	NaN
141.3178	1	SS46	20	0pStop  	1	0	   0	NaN
150.3216	1	SS46	21	75pStop 	1	0	0.75	NaN
163.8203	1	SS46	22	100pStop	1	0	   1	NaN
177.3195	1	SS46	23	0pStop  	1	0	   0	NaN
180.3184	1	SS46	24	100pStop	1	0	   1	NaN
190.8232	1	SS46	25	0pStop  	1	0	   0	NaN
 201.327	1	SS46	26	50pStop 	1	0	 0.5	NaN
210.3269	1	SS46	27	100pStop	1	0	   1	NaN
216.3174	1	SS46	28	75pStop 	1	0	0.75	NaN
219.3174	1	SS46	29	50pStop 	1	0	 0.5	NaN
232.8321	1	SS46	30	25pStop 	1	0	0.25	NaN
238.8191	1	SS46	31	50pStop 	1	0	 0.5	NaN
243.3276	1	SS46	32	25pStop 	1	0	0.25	NaN
250.8131	1	SS46	33	50pStop 	1	0	 0.5	NaN
256.8154	1	SS46	34	100pStop	1	0	   1	NaN
259.8223	1	SS46	35	50pStop 	1	0	 0.5	NaN
264.3134	1	SS46	36	50pStop 	1	0	 0.5	NaN
268.8138	1	SS46	37	25pStop 	1	0	0.25	NaN
274.8219	1	SS46	38	0pStop  	1	0	   0	NaN
279.3176	1	SS46	39	100pStop	1	0	   1	NaN
288.3287	1	SS46	40	25pStop 	1	0	0.25	NaN
292.8215	1	SS46	41	0pStop  	1	0	   0	NaN
300.3181	1	SS46	42	100pStop	1	0	   1	NaN
304.8251	1	SS46	43	50pStop 	1	0	 0.5	NaN
307.8263	1	SS46	44	50pStop 	1	0	 0.5	NaN
 310.829	1	SS46	45	0pStop  	1	0	   0	NaN
315.3188	1	SS46	46	0pStop  	1	0	   0	NaN
321.3181	1	SS46	47	50pStop 	1	0	 0.5	NaN
 325.826	1	SS46	48	50pStop 	1	0	 0.5	NaN
333.3275	1	SS46	49	100pStop	1	0	   1	NaN
 340.822	1	SS46	50	75pStop 	1	0	0.75	NaN
346.8264	1	SS46	51	25pStop 	1	0	0.25	NaN
349.8213	1	SS46	52	75pStop 	1	0	0.75	NaN
355.8222	1	SS46	53	25pStop 	1	0	0.25	NaN
360.3221	1	SS46	54	75pStop 	1	0	0.75	NaN
 364.822	1	SS46	55	0pStop  	1	0	   0	NaN
370.8215	1	SS46	56	100pStop	1	0	   1	NaN
376.8229	1	SS46	57	0pStop  	1	0	   0	NaN
381.3252	1	SS46	58	50pStop 	1	0	 0.5	NaN
 387.322	1	SS46	59	25pStop 	1	0	0.25	NaN
396.3176	1	SS46	60	0pStop  	1	0	   0	NaN
400.8295	1	SS46	61	75pStop 	1	0	0.75	NaN
405.3194	1	SS46	62	25pStop 	1	0	0.25	NaN
411.3251	1	SS46	63	75pStop 	1	0	0.75	NaN
423.3195	1	SS46	64	25pStop 	1	0	0.25	NaN
427.8218	1	SS46	65	25pStop 	1	0	0.25	NaN
430.8318	1	SS46	66	50pStop 	1	0	 0.5	NaN
441.3335	1	SS46	67	0pStop  	1	0	   0	NaN
445.8214	1	SS46	68	100pStop	1	0	   1	NaN
 450.335	1	SS46	69	100pStop	1	0	   1	NaN
454.8221	1	SS46	70	25pStop 	1	0	0.25	NaN
459.3183	1	SS46	71	25pStop 	1	0	0.25	NaN
471.3383	1	SS46	72	0pStop  	1	0	   0	NaN
483.3281	1	SS46	73	75pStop 	1	0	0.75	NaN
487.8258	1	SS46	74	50pStop 	1	0	 0.5	NaN
492.3257	1	SS46	75	100pStop	1	0	   1	NaN
