onset	duration	Subj	trial	trial_type	stop	go	go_prob	rt
1.817946	1	SS31	 1	StopTrialResponse	0	1	0.25	538.787
 12.3111	1	SS31	 2	100pGo           	0	1	   1	538.051
22.81486	1	SS31	 3	StopTrialResponse	0	1	   0	538.628
28.80084	1	SS31	 4	25pStop          	1	0	0.25	    NaN
36.31134	1	SS31	 5	25pStop          	1	0	0.25	    NaN
45.31139	1	SS31	 6	StopTrialResponse	0	1	 0.5	537.907
57.31144	1	SS31	 7	StopTrialResponse	0	1	0.75	538.359
64.80737	1	SS31	 8	0pStop           	1	0	   0	    NaN
70.80748	1	SS31	 9	100pGo           	0	1	   1	 538.82
73.80823	1	SS31	10	100pGo           	0	1	   1	539.631
81.31114	1	SS31	11	100pGo           	0	1	   1	535.899
85.81602	1	SS31	12	0pStop           	1	0	   0	    NaN
90.31098	1	SS31	13	StopTrialResponse	0	1	0.75	538.616
96.31197	1	SS31	14	25pStop          	1	0	0.25	    NaN
102.3121	1	SS31	15	StopTrialResponse	0	1	0.75	540.011
 108.311	1	SS31	16	100pGo           	0	1	   1	539.676
 112.807	1	SS31	17	StopTrialResponse	0	1	 0.5	537.676
 117.311	1	SS31	18	StopTrialResponse	0	1	 0.5	519.826
126.3189	1	SS31	19	100pGo           	0	1	   1	526.847
132.3114	1	SS31	20	100pGo           	0	1	   1	538.093
141.3109	1	SS31	21	StopTrialResponse	0	1	 0.5	538.448
151.8155	1	SS31	22	100pGo           	0	1	   1	486.671
156.3208	1	SS31	23	StopTrialResponse	0	1	 0.5	453.362
159.3087	1	SS31	24	StopTrialResponse	0	1	   0	538.686
162.3112	1	SS31	25	0pStop           	1	0	   0	    NaN
175.8243	1	SS31	26	25pStop          	1	0	0.25	    NaN
187.8071	1	SS31	27	StopTrialResponse	0	1	 0.5	538.544
192.3112	1	SS31	28	StopTrialResponse	0	1	0.75	518.768
195.3111	1	SS31	29	StopTrialResponse	0	1	0.25	538.766
208.8163	1	SS31	30	StopTrialResponse	0	1	0.75	538.004
219.3199	1	SS31	31	StopTrialResponse	0	1	0.75	511.445
231.3199	1	SS31	32	100pGo           	0	1	   1	537.931
234.3112	1	SS31	33	StopTrialResponse	0	1	0.25	539.972
237.3137	1	SS31	34	0pStop           	1	0	   0	    NaN
249.3203	1	SS31	35	25pStop          	1	0	0.25	    NaN
255.3137	1	SS31	36	0pStop           	1	0	   0	    NaN
262.8249	1	SS31	37	0pStop           	1	0	   0	    NaN
271.8153	1	SS31	38	StopTrialResponse	0	1	 0.5	537.758
277.8242	1	SS31	39	25pStop          	1	0	0.25	    NaN
282.3055	1	SS31	40	25pStop          	1	0	0.25	    NaN
 286.815	1	SS31	41	StopTrialResponse	0	1	0.75	539.017
289.8161	1	SS31	42	100pGo           	0	1	   1	539.533
301.8153	1	SS31	43	StopTrialResponse	0	1	 0.5	479.866
307.8242	1	SS31	44	StopTrialResponse	0	1	0.75	538.124
316.8258	1	SS31	45	100pStop         	1	0	   1	    NaN
321.3115	1	SS31	46	StopTrialResponse	0	1	 0.5	537.536
327.3114	1	SS31	47	0pStop           	1	0	   0	    NaN
 331.816	1	SS31	48	StopTrialResponse	0	1	0.75	503.431
336.3197	1	SS31	49	25pStop          	1	0	0.25	    NaN
340.8166	1	SS31	50	75pStop          	1	0	0.75	    NaN
345.3199	1	SS31	51	25pStop          	1	0	0.25	    NaN
348.3207	1	SS31	52	25pStop          	1	0	0.25	    NaN
352.8196	1	SS31	53	StopTrialResponse	0	1	0.75	538.414
357.3195	1	SS31	54	StopTrialResponse	0	1	0.75	539.336
370.8178	1	SS31	55	50pStop          	1	0	 0.5	    NaN
375.3205	1	SS31	56	StopTrialResponse	0	1	0.75	537.896
379.8154	1	SS31	57	100pGo           	0	1	   1	539.204
393.3298	1	SS31	58	StopTrialResponse	0	1	   0	539.135
399.3202	1	SS31	59	StopTrialResponse	0	1	0.75	538.306
405.3303	1	SS31	60	25pStop          	1	0	0.25	    NaN
409.8153	1	SS31	61	100pGo           	0	1	   1	538.861
414.3289	1	SS31	62	0pStop           	1	0	   0	    NaN
417.3207	1	SS31	63	100pGo           	0	1	   1	537.727
423.3276	1	SS31	64	50pStop          	1	0	 0.5	    NaN
426.3194	1	SS31	65	0pStop           	1	0	   0	    NaN
430.8153	1	SS31	66	StopTrialResponse	0	1	 0.5	538.394
435.3135	1	SS31	67	StopTrialResponse	0	1	 0.5	537.976
439.8232	1	SS31	68	0pStop           	1	0	   0	    NaN
450.3296	1	SS31	69	StopTrialResponse	0	1	 0.5	538.138
457.8229	1	SS31	70	100pStop         	1	0	   1	    NaN
463.8153	1	SS31	71	0pStop           	1	0	   0	    NaN
468.3193	1	SS31	72	StopTrialResponse	0	1	 0.5	526.902
481.8326	1	SS31	73	StopTrialResponse	0	1	0.75	537.893
486.3199	1	SS31	74	0pStop           	1	0	   0	    NaN
490.8243	1	SS31	75	StopTrialResponse	0	1	0.25	538.928
