onset	duration	Subj	trial	trial_type	stop	go	go_prob	rt
1.814619	1	SS33	 1	0pStop           	1	0	   0	    NaN
13.80704	1	SS33	 2	StopTrialResponse	0	1	 0.5	539.527
18.31143	1	SS33	 3	0pStop           	1	0	   0	    NaN
22.80703	1	SS33	 4	StopTrialResponse	0	1	 0.5	539.422
36.31322	1	SS33	 5	0pStop           	1	0	   0	    NaN
49.80678	1	SS33	 6	100pGo           	0	1	   1	423.447
 60.3188	1	SS33	 7	100pGo           	0	1	   1	539.158
64.82357	1	SS33	 8	25pStop          	1	0	0.25	    NaN
70.81493	1	SS33	 9	25pStop          	1	0	0.25	    NaN
76.81726	1	SS33	10	0pStop           	1	0	   0	    NaN
81.31048	1	SS33	11	StopTrialResponse	0	1	 0.5	539.268
87.31354	1	SS33	12	25pStop          	1	0	0.25	    NaN
91.81521	1	SS33	13	StopTrialResponse	0	1	 0.5	 537.82
97.81564	1	SS33	14	25pStop          	1	0	0.25	    NaN
102.3134	1	SS33	15	StopTrialResponse	0	1	0.75	476.686
 106.815	1	SS33	16	50pStop          	1	0	 0.5	    NaN
109.8182	1	SS33	17	StopTrialResponse	0	1	0.75	539.088
115.8252	1	SS33	18	100pGo           	0	1	   1	539.349
123.3191	1	SS33	19	25pStop          	1	0	0.25	    NaN
126.3145	1	SS33	20	0pStop           	1	0	   0	    NaN
129.3109	1	SS33	21	StopTrialResponse	0	1	 0.5	539.404
133.8239	1	SS33	22	StopTrialResponse	0	1	0.75	494.799
141.3116	1	SS33	23	0pStop           	1	0	   0	    NaN
148.8161	1	SS33	24	25pStop          	1	0	0.25	    NaN
 157.815	1	SS33	25	100pGo           	0	1	   1	472.518
 162.318	1	SS33	26	StopTrialResponse	0	1	0.75	  513.5
165.3108	1	SS33	27	StopTrialResponse	0	1	0.75	539.643
175.8152	1	SS33	28	0pStop           	1	0	   0	    NaN
180.3116	1	SS33	29	25pStop          	1	0	0.25	    NaN
183.3192	1	SS33	30	100pGo           	0	1	   1	539.591
187.8155	1	SS33	31	25pStop          	1	0	0.25	    NaN
201.3294	1	SS33	32	StopTrialResponse	0	1	0.75	485.176
213.3286	1	SS33	33	25pStop          	1	0	0.25	    NaN
225.3273	1	SS33	34	StopTrialResponse	0	1	0.75	416.852
231.3201	1	SS33	35	StopTrialResponse	0	1	0.75	525.857
 235.817	1	SS33	36	0pStop           	1	0	   0	    NaN
241.8153	1	SS33	37	25pStop          	1	0	0.25	    NaN
 249.319	1	SS33	38	StopTrialResponse	0	1	 0.5	538.453
259.8223	1	SS33	39	100pGo           	0	1	   1	539.526
265.8282	1	SS33	40	StopTrialResponse	0	1	0.75	540.046
271.8158	1	SS33	41	0pStop           	1	0	   0	    NaN
280.8174	1	SS33	42	50pStop          	1	0	 0.5	    NaN
289.8237	1	SS33	43	100pGo           	0	1	   1	 439.07
303.3322	1	SS33	44	StopTrialResponse	0	1	 0.5	537.618
315.3262	1	SS33	45	50pStop          	1	0	 0.5	    NaN
321.3205	1	SS33	46	0pStop           	1	0	   0	    NaN
327.3198	1	SS33	47	0pStop           	1	0	   0	    NaN
333.3278	1	SS33	48	StopTrialResponse	0	1	0.75	539.651
346.8327	1	SS33	49	StopTrialResponse	0	1	 0.5	537.659
354.3282	1	SS33	50	100pGo           	0	1	   1	436.536
360.3194	1	SS33	51	25pStop          	1	0	0.25	    NaN
364.8311	1	SS33	52	100pGo           	0	1	   1	423.314
376.8304	1	SS33	53	25pStop          	1	0	0.25	    NaN
381.3191	1	SS33	54	StopTrialResponse	0	1	 0.5	538.928
385.8233	1	SS33	55	StopTrialResponse	0	1	0.75	538.514
390.3213	1	SS33	56	StopTrialResponse	0	1	0.75	537.869
399.3238	1	SS33	57	25pStop          	1	0	0.25	    NaN
409.8249	1	SS33	58	0pStop           	1	0	   0	    NaN
 420.328	1	SS33	59	100pGo           	0	1	   1	 538.63
423.3205	1	SS33	60	StopTrialResponse	0	1	0.75	537.925
426.3193	1	SS33	61	StopTrialResponse	0	1	0.75	534.785
430.8182	1	SS33	62	25pStop          	1	0	0.25	    NaN
 436.831	1	SS33	63	StopTrialResponse	0	1	 0.5	539.329
441.3176	1	SS33	64	25pStop          	1	0	0.25	    NaN
445.8237	1	SS33	65	0pStop           	1	0	   0	    NaN
448.8221	1	SS33	66	100pGo           	0	1	   1	538.983
453.3154	1	SS33	67	100pGo           	0	1	   1	497.286
459.3195	1	SS33	68	100pGo           	0	1	   1	538.479
463.8236	1	SS33	69	100pGo           	0	1	   1	538.227
472.8238	1	SS33	70	StopTrialResponse	0	1	 0.5	538.053
477.3289	1	SS33	71	0pStop           	1	0	   0	    NaN
481.8234	1	SS33	72	StopTrialResponse	0	1	 0.5	537.713
 484.824	1	SS33	73	0pStop           	1	0	   0	    NaN
489.3294	1	SS33	74	StopTrialResponse	0	1	0.75	 502.35
493.8241	1	SS33	75	100pGo           	0	1	   1	535.425
