onset	duration	Subj	trial	trial_type	stop	go	go_prob	rt
1.824843	1	SS40	 1	25pStop          	1	0	0.25	    NaN
6.310328	1	SS40	 2	100pGo           	0	1	   1	539.866
12.31806	1	SS40	 3	25pStop          	1	0	0.25	    NaN
16.81226	1	SS40	 4	StopTrialResponse	0	1	 0.5	538.498
19.81541	1	SS40	 5	25pStop          	1	0	0.25	    NaN
25.81365	1	SS40	 6	0pStop           	1	0	   0	    NaN
30.31968	1	SS40	 7	25pStop          	1	0	0.25	    NaN
33.31171	1	SS40	 8	StopTrialResponse	0	1	 0.5	539.485
43.82371	1	SS40	 9	StopTrialResponse	0	1	 0.5	538.567
49.81238	1	SS40	10	StopTrialResponse	0	1	0.75	539.451
57.31763	1	SS40	11	0pStop           	1	0	   0	    NaN
60.31571	1	SS40	12	100pGo           	0	1	   1	538.678
63.31594	1	SS40	13	StopTrialResponse	0	1	 0.5	538.235
67.81182	1	SS40	14	StopTrialResponse	0	1	0.75	539.376
 72.3114	1	SS40	15	0pStop           	1	0	   0	    NaN
76.81197	1	SS40	16	StopTrialResponse	0	1	 0.5	538.637
79.81593	1	SS40	17	100pGo           	0	1	   1	538.047
93.32803	1	SS40	18	StopTrialResponse	0	1	0.75	537.979
106.8226	1	SS40	19	100pGo           	0	1	   1	537.736
112.8125	1	SS40	20	StopTrialResponse	0	1	0.75	537.982
118.8155	1	SS40	21	100pGo           	0	1	   1	539.078
129.3266	1	SS40	22	StopTrialResponse	0	1	0.75	    539
132.3283	1	SS40	23	0pStop           	1	0	   0	    NaN
142.8172	1	SS40	24	0pStop           	1	0	   0	    NaN
147.3164	1	SS40	25	25pStop          	1	0	0.25	    NaN
160.8356	1	SS40	26	0pStop           	1	0	   0	    NaN
165.3201	1	SS40	27	StopTrialResponse	0	1	 0.5	538.818
169.8198	1	SS40	28	25pStop          	1	0	0.25	    NaN
174.3166	1	SS40	29	0pStop           	1	0	   0	    NaN
183.3167	1	SS40	30	100pGo           	0	1	   1	537.881
189.3174	1	SS40	31	StopTrialResponse	0	1	0.75	539.192
193.8251	1	SS40	32	0pStop           	1	0	   0	    NaN
196.8138	1	SS40	33	25pStop          	1	0	0.25	    NaN
207.3168	1	SS40	34	100pGo           	0	1	   1	537.997
214.8325	1	SS40	35	StopTrialResponse	0	1	 0.5	539.271
220.8224	1	SS40	36	StopTrialResponse	0	1	 0.5	539.165
229.8222	1	SS40	37	StopTrialResponse	0	1	0.25	539.541
235.8201	1	SS40	38	0pStop           	1	0	   0	    NaN
241.8207	1	SS40	39	100pGo           	0	1	   1	539.258
253.8318	1	SS40	40	StopTrialResponse	0	1	0.75	539.064
 265.813	1	SS40	41	25pStop          	1	0	0.25	    NaN
 277.821	1	SS40	42	100pGo           	0	1	   1	539.685
282.3239	1	SS40	43	100pGo           	0	1	   1	539.676
286.8229	1	SS40	44	StopTrialResponse	0	1	0.75	537.537
292.8315	1	SS40	45	50pStop          	1	0	 0.5	    NaN
297.3158	1	SS40	46	50pStop          	1	0	 0.5	    NaN
310.8348	1	SS40	47	100pGo           	0	1	   1	539.282
319.8203	1	SS40	48	StopTrialResponse	0	1	0.75	539.951
 322.816	1	SS40	49	StopTrialResponse	0	1	0.75	538.544
333.3159	1	SS40	50	25pStop          	1	0	0.25	    NaN
337.8205	1	SS40	51	0pStop           	1	0	   0	    NaN
349.8264	1	SS40	52	25pStop          	1	0	0.25	    NaN
358.8225	1	SS40	53	100pGo           	0	1	   1	538.822
 363.327	1	SS40	54	0pStop           	1	0	   0	    NaN
370.8222	1	SS40	55	25pStop          	1	0	0.25	    NaN
378.3251	1	SS40	56	100pGo           	0	1	   1	539.689
382.8261	1	SS40	57	50pStop          	1	0	 0.5	    NaN
387.3266	1	SS40	58	25pStop          	1	0	0.25	    NaN
393.3261	1	SS40	59	100pGo           	0	1	   1	537.668
396.3245	1	SS40	60	50pStop          	1	0	 0.5	    NaN
403.8297	1	SS40	61	75pStop          	1	0	0.75	    NaN
412.8307	1	SS40	62	0pStop           	1	0	   0	    NaN
418.8208	1	SS40	63	StopTrialResponse	0	1	0.75	539.574
 423.324	1	SS40	64	StopTrialResponse	0	1	 0.5	538.594
435.3346	1	SS40	65	0pStop           	1	0	   0	    NaN
 448.821	1	SS40	66	50pStop          	1	0	 0.5	    NaN
454.8293	1	SS40	67	StopTrialResponse	0	1	0.75	538.681
459.3259	1	SS40	68	StopTrialResponse	0	1	0.75	538.598
463.8208	1	SS40	69	0pStop           	1	0	   0	    NaN
469.8232	1	SS40	70	25pStop          	1	0	0.25	    NaN
472.8308	1	SS40	71	100pGo           	0	1	   1	539.214
477.3232	1	SS40	72	0pStop           	1	0	   0	    NaN
481.8324	1	SS40	73	75pStop          	1	0	0.75	    NaN
487.8322	1	SS40	74	50pStop          	1	0	 0.5	    NaN
492.3341	1	SS40	75	25pStop          	1	0	0.25	    NaN
