onset	duration	Subj	trial	trial_type	stop	go	go_prob	rt
1.827164	1	SS50	 1	StopTrialResponse	0	1	0.75	 539.06
6.312231	1	SS50	 2	100pGo           	0	1	   1	502.526
10.81617	1	SS50	 3	50pStop          	1	0	 0.5	    NaN
19.81648	1	SS50	 4	100pGo           	0	1	   1	 537.87
27.31243	1	SS50	 5	StopTrialResponse	0	1	   0	516.826
31.82238	1	SS50	 6	0pStop           	1	0	   0	    NaN
45.31116	1	SS50	 7	StopTrialResponse	0	1	0.75	538.592
51.31838	1	SS50	 8	0pStop           	1	0	   0	    NaN
54.30941	1	SS50	 9	100pGo           	0	1	   1	538.333
60.31837	1	SS50	10	0pStop           	1	0	   0	    NaN
64.81322	1	SS50	11	25pStop          	1	0	0.25	    NaN
69.32088	1	SS50	12	50pStop          	1	0	 0.5	    NaN
73.82041	1	SS50	13	50pStop          	1	0	 0.5	    NaN
76.81358	1	SS50	14	StopTrialResponse	0	1	0.75	538.931
79.81658	1	SS50	15	50pStop          	1	0	 0.5	    NaN
90.32067	1	SS50	16	50pStop          	1	0	 0.5	    NaN
97.81256	1	SS50	17	100pGo           	0	1	   1	496.917
103.8129	1	SS50	18	25pStop          	1	0	0.25	    NaN
108.3106	1	SS50	19	25pStop          	1	0	0.25	    NaN
112.8152	1	SS50	20	100pGo           	0	1	   1	524.606
124.8149	1	SS50	21	0pStop           	1	0	   0	    NaN
133.8128	1	SS50	22	25pStop          	1	0	0.25	    NaN
139.8127	1	SS50	23	0pStop           	1	0	   0	    NaN
145.8128	1	SS50	24	StopTrialResponse	0	1	0.75	503.453
 151.816	1	SS50	25	0pStop           	1	0	   0	    NaN
156.3174	1	SS50	26	100pGo           	0	1	   1	539.104
166.8228	1	SS50	27	25pStop          	1	0	0.25	    NaN
169.8155	1	SS50	28	0pStop           	1	0	   0	    NaN
174.3184	1	SS50	29	25pStop          	1	0	0.25	    NaN
181.8165	1	SS50	30	100pGo           	0	1	   1	499.696
190.8147	1	SS50	31	50pStop          	1	0	 0.5	    NaN
195.3185	1	SS50	32	StopTrialResponse	0	1	0.75	 537.55
204.3269	1	SS50	33	50pStop          	1	0	 0.5	    NaN
208.8142	1	SS50	34	0pStop           	1	0	   0	    NaN
216.3264	1	SS50	35	StopTrialResponse	0	1	0.75	538.388
228.3185	1	SS50	36	100pGo           	0	1	   1	535.944
241.8354	1	SS50	37	25pStop          	1	0	0.25	    NaN
246.3167	1	SS50	38	50pStop          	1	0	 0.5	    NaN
250.8226	1	SS50	39	25pStop          	1	0	0.25	    NaN
259.8233	1	SS50	40	StopTrialResponse	0	1	0.75	537.927
273.3255	1	SS50	41	0pStop           	1	0	   0	    NaN
285.3212	1	SS50	42	50pStop          	1	0	 0.5	    NaN
297.3198	1	SS50	43	100pGo           	0	1	   1	493.683
301.8307	1	SS50	44	StopTrialResponse	0	1	0.75	533.091
312.3186	1	SS50	45	50pStop          	1	0	 0.5	    NaN
315.3193	1	SS50	46	StopTrialResponse	0	1	0.75	 534.05
319.8225	1	SS50	47	0pStop           	1	0	   0	    NaN
 325.823	1	SS50	48	100pGo           	0	1	   1	494.633
331.8304	1	SS50	49	50pStop          	1	0	 0.5	    NaN
345.3275	1	SS50	50	0pStop           	1	0	   0	    NaN
349.8227	1	SS50	51	25pStop          	1	0	0.25	    NaN
352.8215	1	SS50	52	StopTrialResponse	0	1	0.75	518.797
357.3186	1	SS50	53	100pGo           	0	1	   1	538.553
361.8234	1	SS50	54	25pStop          	1	0	0.25	    NaN
373.8224	1	SS50	55	50pStop          	1	0	 0.5	    NaN
379.8225	1	SS50	56	100pGo           	0	1	   1	539.833
384.3274	1	SS50	57	100pGo           	0	1	   1	468.768
387.3188	1	SS50	58	25pStop          	1	0	0.25	    NaN
393.3266	1	SS50	59	0pStop           	1	0	   0	    NaN
399.3184	1	SS50	60	StopTrialResponse	0	1	0.75	511.386
406.8305	1	SS50	61	25pStop          	1	0	0.25	    NaN
412.8288	1	SS50	62	0pStop           	1	0	   0	    NaN
423.3267	1	SS50	63	StopTrialResponse	0	1	 0.5	538.853
427.8225	1	SS50	64	100pGo           	0	1	   1	538.317
432.3253	1	SS50	65	100pGo           	0	1	   1	537.987
435.3269	1	SS50	66	25pStop          	1	0	0.25	    NaN
439.8226	1	SS50	67	0pStop           	1	0	   0	    NaN
442.8233	1	SS50	68	StopTrialResponse	0	1	0.75	538.416
447.3269	1	SS50	69	StopTrialResponse	0	1	0.75	519.291
450.3268	1	SS50	70	StopTrialResponse	0	1	0.75	538.424
454.8225	1	SS50	71	25pStop          	1	0	0.25	    NaN
468.3273	1	SS50	72	50pStop          	1	0	 0.5	    NaN
 474.335	1	SS50	73	25pStop          	1	0	0.25	    NaN
484.8224	1	SS50	74	50pStop          	1	0	 0.5	    NaN
 490.831	1	SS50	75	StopTrialResponse	0	1	0.75	477.173
