onset	duration	Subj	trial	trial_type	stop	go	go_prob	rt
1.803727	1	SS45	 1	0pStop           	1	0	   0	    NaN
7.806351	1	SS45	 2	StopTrialResponse	0	1	 0.5	537.551
 13.8002	1	SS45	 3	100pGo           	0	1	   1	533.582
18.30438	1	SS45	 4	100pGo           	0	1	   1	538.426
31.80029	1	SS45	 5	0pStop           	1	0	   0	    NaN
36.30448	1	SS45	 6	StopTrialResponse	0	1	0.75	538.526
48.30494	1	SS45	 7	100pGo           	0	1	   1	539.115
60.30935	1	SS45	 8	25pStop          	1	0	0.25	    NaN
64.80966	1	SS45	 9	0pStop           	1	0	   0	    NaN
70.80061	1	SS45	10	StopTrialResponse	0	1	0.75	539.356
75.30389	1	SS45	11	StopTrialResponse	0	1	 0.5	537.709
82.81577	1	SS45	12	25pStop          	1	0	0.25	    NaN
88.79999	1	SS45	13	25pStop          	1	0	0.25	    NaN
91.80202	1	SS45	14	25pStop          	1	0	0.25	    NaN
96.30397	1	SS45	15	StopTrialResponse	0	1	0.75	469.031
109.8081	1	SS45	16	StopTrialResponse	0	1	 0.5	538.545
112.8024	1	SS45	17	25pStop          	1	0	0.25	    NaN
123.3049	1	SS45	18	25pStop          	1	0	0.25	    NaN
130.8055	1	SS45	19	0pStop           	1	0	   0	    NaN
136.8083	1	SS45	20	StopTrialResponse	0	1	 0.5	539.547
142.8107	1	SS45	21	StopTrialResponse	0	1	0.75	459.864
148.8001	1	SS45	22	100pGo           	0	1	   1	538.364
159.3118	1	SS45	23	100pGo           	0	1	   1	 476.58
165.3105	1	SS45	24	StopTrialResponse	0	1	 0.5	538.504
169.8088	1	SS45	25	100pGo           	0	1	   1	525.563
174.3078	1	SS45	26	StopTrialResponse	0	1	 0.5	537.671
178.8083	1	SS45	27	StopTrialResponse	0	1	   0	538.665
192.3219	1	SS45	28	StopTrialResponse	0	1	 0.5	537.748
204.3107	1	SS45	29	StopTrialResponse	0	1	 0.5	518.819
208.8081	1	SS45	30	100pGo           	0	1	   1	533.753
213.3047	1	SS45	31	StopTrialResponse	0	1	0.75	 487.03
223.8084	1	SS45	32	100pGo           	0	1	   1	539.282
228.3045	1	SS45	33	0pStop           	1	0	   0	    NaN
238.8217	1	SS45	34	StopTrialResponse	0	1	0.75	495.007
244.8086	1	SS45	35	StopTrialResponse	0	1	 0.5	537.716
255.3168	1	SS45	36	75pStop          	1	0	0.75	    NaN
259.8086	1	SS45	37	StopTrialResponse	0	1	0.75	430.017
262.8113	1	SS45	38	100pGo           	0	1	   1	522.562
268.8083	1	SS45	39	100pGo           	0	1	   1	479.611
273.3121	1	SS45	40	50pStop          	1	0	 0.5	    NaN
277.8093	1	SS45	41	50pStop          	1	0	 0.5	    NaN
282.3126	1	SS45	42	0pStop           	1	0	   0	    NaN
285.3121	1	SS45	43	0pStop           	1	0	   0	    NaN
289.8084	1	SS45	44	25pStop          	1	0	0.25	    NaN
294.3156	1	SS45	45	0pStop           	1	0	   0	    NaN
297.3046	1	SS45	46	StopTrialResponse	0	1	0.75	469.324
301.8114	1	SS45	47	50pStop          	1	0	 0.5	    NaN
304.8084	1	SS45	48	100pGo           	0	1	   1	469.099
307.8087	1	SS45	49	0pStop           	1	0	   0	    NaN
 312.313	1	SS45	50	25pStop          	1	0	0.25	    NaN
316.8138	1	SS45	51	StopTrialResponse	0	1	0.75	 528.36
319.8084	1	SS45	52	50pStop          	1	0	 0.5	    NaN
 325.811	1	SS45	53	StopTrialResponse	0	1	0.75	539.088
 331.811	1	SS45	54	25pStop          	1	0	0.25	    NaN
337.8093	1	SS45	55	100pGo           	0	1	   1	 539.09
340.8082	1	SS45	56	0pStop           	1	0	   0	    NaN
 345.313	1	SS45	57	StopTrialResponse	0	1	 0.5	524.019
 358.811	1	SS45	58	25pStop          	1	0	0.25	    NaN
361.8085	1	SS45	59	StopTrialResponse	0	1	   0	538.508
369.3187	1	SS45	60	100pGo           	0	1	   1	503.426
378.3126	1	SS45	61	StopTrialResponse	0	1	 0.5	538.995
387.3129	1	SS45	62	100pGo           	0	1	   1	508.897
394.8085	1	SS45	63	100pGo           	0	1	   1	537.981
400.8089	1	SS45	64	25pStop          	1	0	0.25	    NaN
412.8318	1	SS45	65	25pStop          	1	0	0.25	    NaN
417.3113	1	SS45	66	StopTrialResponse	0	1	0.75	 480.03
424.8171	1	SS45	67	25pStop          	1	0	0.25	    NaN
438.3271	1	SS45	68	25pStop          	1	0	0.25	    NaN
447.3151	1	SS45	69	0pStop           	1	0	   0	    NaN
451.8088	1	SS45	70	StopTrialResponse	0	1	0.75	477.799
456.3123	1	SS45	71	25pStop          	1	0	0.25	    NaN
462.3131	1	SS45	72	StopTrialResponse	0	1	0.75	446.368
466.8165	1	SS45	73	75pStop          	1	0	0.75	    NaN
475.8213	1	SS45	74	0pStop           	1	0	   0	    NaN
484.8202	1	SS45	75	0pStop           	1	0	   0	    NaN
