onset	duration	Subj	trial	trial_type	stop	go	go_prob	rt
1.824582	1	SS47	 1	100pGo           	0	1	   1	538.485
6.327492	1	SS47	 2	25pStop          	1	0	0.25	    NaN
12.31069	1	SS47	 3	100pGo           	0	1	   1	495.086
25.81266	1	SS47	 4	100pGo           	0	1	   1	538.242
28.81333	1	SS47	 5	25pStop          	1	0	0.25	    NaN
33.31203	1	SS47	 6	100pGo           	0	1	   1	494.303
45.31007	1	SS47	 7	0pStop           	1	0	   0	    NaN
 48.3115	1	SS47	 8	25pStop          	1	0	0.25	    NaN
 54.3169	1	SS47	 9	100pGo           	0	1	   1	538.031
60.31276	1	SS47	10	100pGo           	0	1	   1	539.547
63.30985	1	SS47	11	25pStop          	1	0	0.25	    NaN
73.81654	1	SS47	12	25pStop          	1	0	0.25	    NaN
78.32022	1	SS47	13	StopTrialResponse	0	1	0.75	537.885
91.81534	1	SS47	14	50pStop          	1	0	 0.5	    NaN
97.82524	1	SS47	15	25pStop          	1	0	0.25	    NaN
102.3191	1	SS47	16	StopTrialResponse	0	1	0.75	539.599
108.3286	1	SS47	17	StopTrialResponse	0	1	0.75	510.933
 112.816	1	SS47	18	0pStop           	1	0	   0	    NaN
118.8164	1	SS47	19	StopTrialResponse	0	1	0.75	459.793
129.3167	1	SS47	20	0pStop           	1	0	   0	    NaN
133.8269	1	SS47	21	StopTrialResponse	0	1	 0.5	540.001
141.3194	1	SS47	22	25pStop          	1	0	0.25	    NaN
144.3251	1	SS47	23	StopTrialResponse	0	1	0.75	494.951
147.3194	1	SS47	24	100pGo           	0	1	   1	539.758
 151.816	1	SS47	25	100pGo           	0	1	   1	539.997
 159.319	1	SS47	26	0pStop           	1	0	   0	    NaN
165.3234	1	SS47	27	StopTrialResponse	0	1	 0.5	538.431
171.3186	1	SS47	28	StopTrialResponse	0	1	 0.5	538.275
184.8252	1	SS47	29	25pStop          	1	0	0.25	    NaN
 189.317	1	SS47	30	StopTrialResponse	0	1	 0.5	538.242
195.3284	1	SS47	31	StopTrialResponse	0	1	0.75	539.565
199.8257	1	SS47	32	StopTrialResponse	0	1	 0.5	537.997
208.8212	1	SS47	33	100pGo           	0	1	   1	538.287
217.8209	1	SS47	34	StopTrialResponse	0	1	0.75	535.242
226.8209	1	SS47	35	0pStop           	1	0	   0	    NaN
231.3173	1	SS47	36	100pGo           	0	1	   1	488.595
237.3177	1	SS47	37	StopTrialResponse	0	1	 0.5	539.974
241.8229	1	SS47	38	25pStop          	1	0	0.25	    NaN
253.8329	1	SS47	39	25pStop          	1	0	0.25	    NaN
262.8259	1	SS47	40	0pStop           	1	0	   0	    NaN
271.8212	1	SS47	41	StopTrialResponse	0	1	 0.5	538.706
274.8206	1	SS47	42	25pStop          	1	0	0.25	    NaN
279.3174	1	SS47	43	StopTrialResponse	0	1	0.75	520.009
282.3196	1	SS47	44	StopTrialResponse	0	1	 0.5	537.923
294.3312	1	SS47	45	StopTrialResponse	0	1	0.75	498.417
 298.825	1	SS47	46	0pStop           	1	0	   0	    NaN
309.3324	1	SS47	47	100pGo           	0	1	   1	  537.9
  315.33	1	SS47	48	StopTrialResponse	0	1	 0.5	538.848
319.8226	1	SS47	49	100pGo           	0	1	   1	481.542
330.3203	1	SS47	50	StopTrialResponse	0	1	0.75	509.298
336.3226	1	SS47	51	25pStop          	1	0	0.25	    NaN
 349.832	1	SS47	52	StopTrialResponse	0	1	 0.5	540.152
354.3258	1	SS47	53	100pGo           	0	1	   1	539.319
 358.821	1	SS47	54	StopTrialResponse	0	1	 0.5	538.549
369.3204	1	SS47	55	StopTrialResponse	0	1	 0.5	537.833
373.8312	1	SS47	56	0pStop           	1	0	   0	    NaN
378.3195	1	SS47	57	0pStop           	1	0	   0	    NaN
391.8304	1	SS47	58	StopTrialResponse	0	1	0.75	538.142
399.3249	1	SS47	59	0pStop           	1	0	   0	    NaN
403.8313	1	SS47	60	StopTrialResponse	0	1	0.75	538.066
408.3273	1	SS47	61	25pStop          	1	0	0.25	    NaN
415.8209	1	SS47	62	0pStop           	1	0	   0	    NaN
420.3282	1	SS47	63	100pGo           	0	1	   1	533.373
424.8214	1	SS47	64	25pStop          	1	0	0.25	    NaN
427.8239	1	SS47	65	25pStop          	1	0	0.25	    NaN
433.8231	1	SS47	66	StopTrialResponse	0	1	 0.5	526.546
438.3271	1	SS47	67	StopTrialResponse	0	1	0.75	534.497
442.8211	1	SS47	68	0pStop           	1	0	   0	    NaN
448.8232	1	SS47	69	StopTrialResponse	0	1	0.75	538.144
460.8208	1	SS47	70	0pStop           	1	0	   0	    NaN
468.3361	1	SS47	71	StopTrialResponse	0	1	 0.5	539.379
471.3283	1	SS47	72	0pStop           	1	0	   0	    NaN
474.3286	1	SS47	73	StopTrialResponse	0	1	0.75	538.062
480.3252	1	SS47	74	0pStop           	1	0	   0	    NaN
492.3261	1	SS47	75	100pGo           	0	1	   1	 528.11
