onset	duration	Subj	trial	trial_type	stop	go	go_prob	rt
1.816938	1	SS47	 1	StopTrialResponse	0	1	0.75	538.278
10.82207	1	SS47	 2	StopTrialResponse	0	1	0.75	519.656
15.31413	1	SS47	 3	50pStop          	1	0	 0.5	    NaN
19.81353	1	SS47	 4	25pStop          	1	0	0.25	    NaN
22.81494	1	SS47	 5	100pGo           	0	1	   1	539.377
28.81445	1	SS47	 6	50pStop          	1	0	 0.5	    NaN
36.31908	1	SS47	 7	StopTrialResponse	0	1	 0.5	538.945
40.82187	1	SS47	 8	100pGo           	0	1	   1	536.917
48.30978	1	SS47	 9	0pStop           	1	0	   0	    NaN
54.31915	1	SS47	10	25pStop          	1	0	0.25	    NaN
58.81507	1	SS47	11	100pGo           	0	1	   1	538.145
63.31855	1	SS47	12	StopTrialResponse	0	1	 0.5	 537.71
69.31109	1	SS47	13	0pStop           	1	0	   0	    NaN
73.82469	1	SS47	14	0pStop           	1	0	   0	    NaN
76.80844	1	SS47	15	0pStop           	1	0	   0	    NaN
79.81454	1	SS47	16	StopTrialResponse	0	1	0.75	  538.6
82.81476	1	SS47	17	0pStop           	1	0	   0	    NaN
96.32378	1	SS47	18	50pStop          	1	0	 0.5	    NaN
106.8082	1	SS47	19	50pStop          	1	0	 0.5	    NaN
111.3199	1	SS47	20	25pStop          	1	0	0.25	    NaN
115.8155	1	SS47	21	25pStop          	1	0	0.25	    NaN
124.8137	1	SS47	22	0pStop           	1	0	   0	    NaN
136.8132	1	SS47	23	100pGo           	0	1	   1	528.935
147.3198	1	SS47	24	StopTrialResponse	0	1	 0.5	539.863
160.8258	1	SS47	25	100pGo           	0	1	   1	539.748
163.8229	1	SS47	26	StopTrialResponse	0	1	 0.5	537.666
175.8155	1	SS47	27	100pGo           	0	1	   1	539.546
180.3249	1	SS47	28	25pStop          	1	0	0.25	    NaN
186.3196	1	SS47	29	100pGo           	0	1	   1	508.901
190.8183	1	SS47	30	100pGo           	0	1	   1	 537.82
 195.319	1	SS47	31	0pStop           	1	0	   0	    NaN
199.8228	1	SS47	32	25pStop          	1	0	0.25	    NaN
204.3183	1	SS47	33	0pStop           	1	0	   0	    NaN
210.3274	1	SS47	34	StopTrialResponse	0	1	0.75	538.523
222.3188	1	SS47	35	100pGo           	0	1	   1	538.856
228.3188	1	SS47	36	0pStop           	1	0	   0	    NaN
237.3274	1	SS47	37	StopTrialResponse	0	1	0.75	537.647
243.3193	1	SS47	38	0pStop           	1	0	   0	    NaN
250.8314	1	SS47	39	25pStop          	1	0	0.25	    NaN
261.3188	1	SS47	40	0pStop           	1	0	   0	    NaN
271.8214	1	SS47	41	25pStop          	1	0	0.25	    NaN
279.3132	1	SS47	42	25pStop          	1	0	0.25	    NaN
282.3278	1	SS47	43	50pStop          	1	0	 0.5	    NaN
288.3216	1	SS47	44	StopTrialResponse	0	1	0.75	540.281
292.8215	1	SS47	45	StopTrialResponse	0	1	0.75	539.601
297.3272	1	SS47	46	50pStop          	1	0	 0.5	    NaN
303.3283	1	SS47	47	StopTrialResponse	0	1	 0.5	538.501
307.8217	1	SS47	48	StopTrialResponse	0	1	0.75	537.809
315.3261	1	SS47	49	25pStop          	1	0	0.25	    NaN
321.3149	1	SS47	50	100pGo           	0	1	   1	538.896
333.3258	1	SS47	51	100pGo           	0	1	   1	534.713
337.8234	1	SS47	52	0pStop           	1	0	   0	    NaN
342.3276	1	SS47	53	StopTrialResponse	0	1	0.75	539.315
355.8216	1	SS47	54	100pGo           	0	1	   1	538.814
369.3287	1	SS47	55	StopTrialResponse	0	1	0.75	534.761
 373.832	1	SS47	56	0pStop           	1	0	   0	    NaN
378.3191	1	SS47	57	StopTrialResponse	0	1	0.75	539.582
388.8295	1	SS47	58	25pStop          	1	0	0.25	    NaN
394.8235	1	SS47	59	25pStop          	1	0	0.25	    NaN
408.3266	1	SS47	60	StopTrialResponse	0	1	0.75	  537.8
414.3341	1	SS47	61	50pStop          	1	0	 0.5	    NaN
417.3271	1	SS47	62	100pGo           	0	1	   1	539.603
420.3272	1	SS47	63	50pStop          	1	0	 0.5	    NaN
424.8252	1	SS47	64	StopTrialResponse	0	1	 0.5	539.152
427.8215	1	SS47	65	StopTrialResponse	0	1	0.75	539.038
433.8245	1	SS47	66	25pStop          	1	0	0.25	    NaN
445.8324	1	SS47	67	0pStop           	1	0	   0	    NaN
450.3273	1	SS47	68	100pGo           	0	1	   1	539.304
456.3276	1	SS47	69	StopTrialResponse	0	1	0.75	538.391
  460.84	1	SS47	70	0pStop           	1	0	   0	    NaN
466.8242	1	SS47	71	100pGo           	0	1	   1	538.256
475.8319	1	SS47	72	25pStop          	1	0	0.25	    NaN
480.3271	1	SS47	73	25pStop          	1	0	0.25	    NaN
484.8233	1	SS47	74	StopTrialResponse	0	1	0.75	538.851
487.8239	1	SS47	75	StopTrialResponse	0	1	 0.5	538.526
